draw_idx,hiv_prev_2010_2020_mean,trep_f_2016_mean,nontrep_f_2016_mean,hiv_trep_ratio_2016_mean,fsw_prev_2019_mean,primary_share_mean,secondary_share_mean,early_lat_share_mean,pf_2035_2040_syph_mean,pf_2035_2040_ng_mean,pf_2035_2040_ct_mean,pf_2035_2040_tv_mean,sustained_hiv_mean,sustained_syph_mean,sustained_ng_mean,sustained_ct_mean,sustained_tv_mean
0,0.049888036185285436,0.00018252613167867403,4.545454545454545e-05,2.745065789473684,0.0,0.0,0.0,0.0,0.0,0.07739127080828134,0.13111599653103007,0.2811191185206203,1.0,0.0,1.0,1.0,1.0
1,0.14527474199311735,0.25061749582899984,0.11423352887092404,2.951684917837448,0.5688616905386621,0.4097239832460981,0.2638592433867029,0.12641677336719898,0.12025174587360629,0.07516319090869077,0.0005886209070438754,0.1356741198159496,1.0,0.8,1.0,0.2,1.0
2,0.13271155955284916,0.2897442601438963,0.1632984561483543,4.341670358892435,0.6872997830074423,0.46055320754484513,0.35952442448375443,0.17992236797140043,0.17766718095618217,0.010862360040450537,0.11709699079869032,0.18018196479225496,1.0,1.0,1.0,1.0,1.0
3,0.1421383705919116,0.26299738158023744,0.16315715939582442,4.914820202024914,0.6930816891515075,0.45185018682499434,0.3741320158678905,0.1740177973071151,0.1368048735092755,0.07325869491209737,0.01117103444192572,0.09398108454027368,1.0,1.0,1.0,1.0,1.0
4,0.10719191154337249,0.32377722377031865,0.19731785824527587,2.7554616032727233,0.6719092652728946,0.431913411109955,0.38419283210817723,0.18389375678186776,0.1487616983625956,0.014212459476979683,0.05706361528852353,0.0,1.0,1.0,1.0,1.0,0.0
5,0.09435535446085687,0.37122037378477135,0.17463352075028865,2.7419483504641584,0.6820811246358829,0.48808994608699374,0.3340622964708588,0.17784775744214745,0.21405834539725235,0.08287493427203327,0.20546801820390667,0.21063044085166452,1.0,1.0,1.0,1.0,1.0
6,0.13657869173164647,0.19045629670094472,0.08560648326929249,5.443292998270394,0.4962885625663575,0.40342502128411084,0.41285238619774695,0.1837225925181422,0.07031205074991878,0.056882423913536054,0.07872526499650546,0.2853148014038257,1.0,0.8,1.0,1.0,1.0
7,0.1380848919192915,0.09004084171217577,0.04520728171778937,2.9049701961576906,0.23564661819784094,0.25126142876370594,0.09704968871193412,0.05168888252435997,0.0381959297999392,0.07665578630716013,0.05128527739601478,0.0013803291141848803,1.0,0.4,1.0,1.0,0.2
8,0.11616549757431534,0.3268301565941701,0.1861388937682781,2.9576111974609107,0.7790914841009717,0.49029028537091845,0.3349535386259974,0.17475617600308418,0.18909282238018718,0.14209835223923156,0.1215712984936514,0.11350797468151433,1.0,1.0,1.0,1.0,1.0
9,0.1461675885397719,0.2929026058379386,0.1586993290276368,4.040050295497674,0.6035511338383992,0.4814958309375149,0.34445117345618503,0.1740529956063,0.14467563458837635,0.02739895067192099,0.27857934442173976,0.0,1.0,1.0,1.0,1.0,0.0
10,0.08956090489241064,0.218946814541695,0.131035827483111,2.2963870317023236,0.5604834337037727,0.43142674206473053,0.24185083362203302,0.12672242431323638,0.09880930761171719,0.036315757401655185,0.006507746805764289,0.21997566680591202,1.0,0.8,1.0,1.0,1.0
11,0.12731459049371033,0.1951899859605202,0.0889515989542697,3.7697952919968265,0.31172239347187713,0.4159967104950911,0.25813898752112774,0.12586430198378112,0.07260432636276032,0.008844551525024238,0.15722371504113003,0.0,1.0,0.8,1.0,1.0,0.0
12,0.079085490254791,0.05513799335218107,0.0286449801076527,1.5956042850676457,0.12222222222222223,0.11973494670123883,0.05439354652837799,0.025871506770383173,0.026960440921278573,0.09163857101325726,0.20666245596742633,0.3220597862478389,1.0,0.2,1.0,1.0,1.0
13,0.14391939634610718,0.08848256611002285,0.03757144914713689,2.4549455269655143,0.21664089081348595,0.22426977996115466,0.12069241404936162,0.05503780598948377,0.03397014938790173,0.04807596265699266,0.06229126380119802,0.08688111738265866,1.0,0.4,1.0,1.0,1.0
14,0.12463804424942171,0.3687468897156999,0.2554061858095521,3.3291836980197957,0.7785872010364333,0.5120629073645354,0.32029773717577664,0.16763935545968794,0.22748354224237896,0.07266395658208483,0.258650549427258,0.0002530279638846583,1.0,1.0,1.0,1.0,0.0
15,0.15287994631053609,0.37406200151599284,0.247771883794214,3.2397800443973472,0.7154120619511162,0.4589318049817376,0.35778833062424176,0.18327986439402064,0.1945531724714126,0.11683045957789787,0.13691214943129812,0.04462873174634212,1.0,1.0,1.0,1.0,1.0
16,0.10702334587746302,0.2845792976698647,0.1339054103586318,3.1056847420309692,0.6895421612569214,0.5151977351746007,0.3146116400182978,0.17019062480710162,0.14738914243876983,0.1289470916772249,0.005714140170913458,0.2902031251491878,1.0,1.0,1.0,1.0,1.0
17,0.1037706021067284,0.11499962476377343,0.05316859331469341,2.739025423847322,0.2898132983950213,0.18577222866159607,0.14497897463369522,0.06924879670470874,0.04495113973236799,0.08907524964852079,0.20550136305933225,0.027496450003929786,1.0,0.4,1.0,1.0,1.0
18,0.11829192570573217,0.2385689621939072,0.1407871671316652,3.1725501279921695,0.522678602917097,0.46992202912557135,0.21652883821047025,0.1135491326639585,0.11441622285891091,0.0038462699484436945,0.012343428526279612,0.3270517049293221,1.0,0.8,1.0,1.0,1.0
19,0.0962110232320206,0.3302228967046338,0.1851523138655047,2.88364218537824,0.7345317970443666,0.6001339571730325,0.2652114684690668,0.13465457435790074,0.1740449520546695,0.019787761616518924,0.08836731969557553,2.9934456992613126e-05,1.0,1.0,1.0,1.0,0.0
