draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,structuredsexual.stable_act_decay,structuredsexual.client_marital_act_mult
0,0.0271511799465413,1.2809536639240728,-1.3945026734831774,1.0619270885915066,14.260659715917107,0.5264787633032653,0.5480084233024862,-0.0015170272572837,0.9332931338927382,-1.2523771810842503,-1.8799922067273007,-2.392536623950793,0.6394608916046645,7.693834483132388,6.317752665316092,0.8762680461372057,0.448952005725557,0.109450544675462,0.9204134668686574
2,0.0292228372684717,1.3736728792700763,-1.6489235605883068,1.236266226227132,20.66536339829153,0.2834670150370111,0.9246984676720278,-1.0229094144693385,1.2788934530515077,-2.3392543198070075,-1.3200076275064974,-3.825713250718419,0.7164990938447833,3.943525533013781,8.759351054178719,0.2189033855888954,0.5900300947846715,0.1759090080644182,0.5895844502038968
4,0.0282072115434126,1.1347944191560444,-1.4653192251703957,0.7650076299398485,17.789125451853963,0.3113454065213851,0.7253480115615634,-1.478555918023027,0.9825621364806782,-2.83357806267462,-0.9436968433862996,-2.588433830557391,0.8777167020783242,2.718193635701953,4.448650710412503,0.8096663176675629,0.4256514750574386,0.1600598520634865,0.3905330364987202
28,0.0272853759126215,0.4978742852356572,-1.6683587410774532,1.2101800402729364,27.87109575040077,0.1428606725441886,0.9499866648192394,-1.1524659442382803,1.0572738547740166,-3.035932176148528,-2.7936183176348663,-2.8404931576823103,0.8593599708485093,3.695614680510321,4.009411085205143,0.9423092484122976,0.4214692074129175,0.11550090744903,0.8837230935175557
30,0.0259892500970435,0.3326521745797333,-1.698151716263543,0.67174249924502,23.32221291518114,0.5314362361270948,0.9290499757969736,-1.0861741633816306,1.2491705809479772,-1.4420399030649178,-1.80538721435724,-3.6348020362609352,0.8034886259876106,2.69365464556801,10.581071161435345,0.4500638046354512,0.6076230316352378,0.0205392241928751,0.3122287255583121
39,0.0293793466236148,0.3718933185497974,-1.3216674744933727,0.9216658238265936,20.797917191966405,0.3908908980437237,0.8937083247713897,-1.7128269250088928,0.3120565755192411,-3.463173837248686,-1.3033881285660236,-2.768923732218183,0.5916647694260041,7.495525783569426,7.2195664986095185,0.5511577109463073,0.606270052927843,0.045190602719105,0.9352050346780788
41,0.0267314729065758,1.1676854052569123,-1.4338941369259797,1.244560285324835,17.498947793469597,0.3713808232138448,0.7089612164535412,-2.3725109277529333,0.5681573251215133,-1.582416080457079,-2.8461069179192044,-3.2338174452164075,0.624074512644809,7.44543529964604,10.9356678508834,0.7832019078892285,0.89076250309151,0.1557273353226996,0.5296204449330214
45,0.0211326035183682,0.4541822997159697,-1.2259961467546148,1.2817445312023827,23.628617589493807,0.3178647031907999,0.5931566507814289,-0.7794228801713023,0.9939614161473156,-2.875656405740316,-2.1731477476304826,-1.3393015745338053,0.6613668072180857,6.660263334218936,4.100992747647678,0.2033725830039398,0.8746470685422412,0.0777142774260502,0.4990818303487008
56,0.0291032528694124,1.3627945356889453,-1.6093956872070003,0.8679096775382864,21.08958830154165,0.4111462870862745,0.8685241436545733,-3.3114856105306805,1.105889211359128,-1.4966676767731206,-1.2047541727512714,-0.9118791522589458,0.7316418488340843,7.68503960508808,3.864196325997727,0.8390417659574272,0.3919439595883279,0.1987271953379094,0.3684998768901322
60,0.0213270315010028,1.0859530812557407,-1.5242440948628473,1.9846010311753328,14.242856990785864,0.421804096501027,0.9430900005996478,-2.414677754891135,0.3246022659014146,-2.1022478369565025,-2.4719256527194227,-1.700704695935933,0.6883802775590788,2.147431286775708,14.813342224638056,1.0839143871988464,0.6889374737313269,0.0945529088304551,0.5371742803318327
