draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,structuredsexual.stable_act_decay,structuredsexual.client_marital_act_mult
0,0.0271511799465413,1.2809536639240728,-1.3945026734831774,1.0619270885915066,14.260659715917107,0.5264787633032653,0.5480084233024862,-0.0015170272572837,0.9332931338927382,-1.2523771810842503,-1.8799922067273007,-2.392536623950793,0.6394608916046645,7.693834483132388,6.317752665316092,0.8762680461372057,0.448952005725557,0.109450544675462,0.9204134668686574
4,0.0282072115434126,1.1347944191560444,-1.4653192251703957,0.7650076299398485,17.789125451853963,0.3113454065213851,0.7253480115615634,-1.478555918023027,0.9825621364806782,-2.83357806267462,-0.9436968433862996,-2.588433830557391,0.8777167020783242,2.718193635701953,4.448650710412503,0.8096663176675629,0.4256514750574386,0.1600598520634865,0.3905330364987202
28,0.0272853759126215,0.4978742852356572,-1.6683587410774532,1.2101800402729364,27.87109575040077,0.1428606725441886,0.9499866648192394,-1.1524659442382803,1.0572738547740166,-3.035932176148528,-2.7936183176348663,-2.8404931576823103,0.8593599708485093,3.695614680510321,4.009411085205143,0.9423092484122976,0.4214692074129175,0.11550090744903,0.8837230935175557
39,0.0293793466236148,0.3718933185497974,-1.3216674744933727,0.9216658238265936,20.797917191966405,0.3908908980437237,0.8937083247713897,-1.7128269250088928,0.3120565755192411,-3.463173837248686,-1.3033881285660236,-2.768923732218183,0.5916647694260041,7.495525783569426,7.2195664986095185,0.5511577109463073,0.606270052927843,0.045190602719105,0.9352050346780788
45,0.0211326035183682,0.4541822997159697,-1.2259961467546148,1.2817445312023827,23.628617589493807,0.3178647031907999,0.5931566507814289,-0.7794228801713023,0.9939614161473156,-2.875656405740316,-2.1731477476304826,-1.3393015745338053,0.6613668072180857,6.660263334218936,4.100992747647678,0.2033725830039398,0.8746470685422412,0.0777142774260502,0.4990818303487008
86,0.0214793536659785,0.7568685003802837,-1.5822526074954075,1.3657758058563745,14.475466409696818,0.3250665197228496,0.9475246147861128,-0.5854751655216557,1.3314659282146288,-1.4237534029602197,-2.3395460519125173,-2.822330335032796,0.6201651384159569,7.741056491179443,3.6650504979882665,0.1681443071382129,0.7676345922218708,0.1157190887511344,0.3049577830909319
119,0.0227645578299301,1.039601231908073,-1.1417201073122478,2.132773789233408,14.739865495914216,0.3054828730565724,0.7273506970055592,-0.4011812244188228,0.3992328893776194,-1.49261832325303,-1.2504435670481424,-1.1681485041784758,0.7794820136838113,6.252564288125103,9.06660351042956,0.3393096309501976,0.2368891787292727,0.0629128720578773,0.8429969492068201
127,0.0236098657539661,0.8535751944031027,-1.4315123348719447,0.5352019147699171,28.120688890687283,0.3798587333717912,0.767199041084795,-0.0623597862511569,0.4871015851498853,-1.6803963190242976,-1.258650251002895,-0.5476189028501186,0.5777886578153894,2.990679277446157,10.816170785183102,1.0108972932361335,0.5503564334402393,0.0378243420352166,0.5556649076919571
148,0.0158656236431489,0.3317631055378566,-1.3965508891037552,2.20873441749938,10.962100154699424,0.2085640508032742,0.9477509345083924,-2.1071857197529003,1.1634060450923325,-1.739605016287312,-0.7504684593779389,-3.359711742934975,0.761231586456845,6.535453794511245,7.766575047288378,0.8544051378421378,0.6759909968545484,0.0602657542462225,0.9120287937247986
163,0.0250096658824355,0.4866369938771334,-1.084950833275222,1.5659266084897343,10.999597440096512,0.1121405188388562,0.7365949486259618,-2.016021188644904,0.9905005747658155,-3.097024468052086,-1.5111422027243684,-2.275680459830125,0.592772464214808,7.248211709973164,6.916678094461759,0.6844486540744582,0.2977239841927248,0.0423841509248015,0.3450977676070485
184,0.0233643244568582,0.8106065018216064,-1.1234282061816003,1.7035489987363974,17.72150617007609,0.5494009763914588,0.7566403036339743,-1.6255450047543962,0.9919517335473392,-3.213579918790584,-2.53414175067368,-3.045163006152628,0.6753903639208679,3.051325533750284,2.857001799543444,0.2599483677269405,0.3392829133487644,0.1832139818608133,0.5161028838868451
207,0.0184293440367742,0.6529091353664628,-1.3715716070428323,1.4061219249702366,11.701891858456433,0.3865933729931794,0.5016581370553863,-0.0884926579874063,1.0773621927343224,-3.3674936156269304,-2.2022195987803257,-3.0222162998465816,0.8680118157734908,4.913064656561858,4.184442392932171,1.032237653991449,0.3315454804255136,0.1343115355922421,0.7549580718090187
230,0.029779741592414,1.1865749709830824,-1.1337905724380573,1.6172741006255311,10.148110067443056,0.2859938588446655,0.8573221033052691,-1.6563551011792184,0.6417024716243036,-1.5196525530951237,-2.158739903842174,-3.120040711357129,0.850236685889302,5.810642893589423,4.775058074879524,0.554200553679135,0.1314143086654866,0.0908812595800063,0.4343842069644655
244,0.021342298527985,1.192383919249099,-1.1826442327944042,1.4437754969055447,14.139289200570918,0.4017027535316216,0.9183164623229846,-0.0964868296006646,0.3253010541946529,-3.735144905534234,-2.1677377469904395,-3.47431744986285,0.8284360514746678,7.916252804911214,13.773670850418515,0.7087071014272779,0.4431794503411679,0.1926461174965069,0.3134608177121274
266,0.0283123954329543,0.988299260220391,-1.3045862424579395,1.46896592375231,22.32917256615245,0.5472078989159826,0.6262879846808254,-0.2205815409245861,0.5024575179441468,-3.853522986508381,-2.226113089598813,-1.5067344751139076,0.6123855341759842,5.043927350213044,5.584421852852948,0.420218967473781,0.2034892342807258,0.0530955961644686,0.4668345449967262
300,0.0176631966749931,1.1861451506436345,-1.568678030962211,1.4590258544218988,27.246401336355675,0.2113555239996433,0.8772439642215095,-1.4452075298645015,1.3779421869985038,-3.5170630441549,-1.5137485994457152,-1.12152415316275,0.8226054437057583,5.638093099178194,8.558067695429623,0.7855254604982127,0.203323516211331,0.1364458266333046,0.9060684464565012
312,0.0195302154687216,0.4557283844821652,-1.4243703150595552,0.9930871369548347,23.335778305636445,0.2649222094330837,0.8458224791710294,-0.6809926232293249,0.3238159938111125,-1.2240977079441242,-1.958957750893076,-2.4335938178348737,0.7112328270359495,2.136214920343797,2.146787460280811,0.6515645893634595,0.4542361981401593,0.0860420833911139,0.9718749054432256
328,0.018985709372526,1.2079889426578303,-1.2276047578030964,0.7855566169245395,27.615195639402053,0.1492055624664272,0.942798173569526,-3.1714382174928195,1.1330997025385994,-3.816582730674742,-2.335166035431207,-1.5687495442776402,0.5913738925735498,3.4789455944750145,4.908658882654034,0.9851589750072836,0.0551614831400141,0.1314999126251282,0.7901336527528366
330,0.0277747004454624,1.292910032461523,-1.082568500086031,1.760844289036146,28.81213068635921,0.432223522136885,0.9185042613418402,-0.6184776160359262,0.314578194287945,-3.75961588846137,-1.3710320035812438,-3.242878048263083,0.653045027508179,5.854600157407463,5.923246210133359,0.4269925084209751,0.1498882520505635,0.135153141739331,0.8428131916099353
337,0.0276957893727586,0.3639709866297046,-1.1636428462142483,0.549413629437079,12.202307447906335,0.5021598719811863,0.938672966566306,-0.0192244486772481,0.8344922255736482,-2.6884539828268608,-1.6647862690895472,-0.5390358833208713,0.6385109661492133,4.161796726444482,8.369720398607257,0.9481690196911784,0.4874538948391294,0.1282973818487772,0.6330274258213924
391,0.0281048115091726,1.0181408167586583,-1.1544283300307228,0.996312815809782,10.410170303272764,0.4360013452558462,0.9342075449721454,-1.3658470340025626,0.4066620929967396,-2.385458394309529,-1.647120486775567,-3.194522824580924,0.7805595844549105,2.428323008440941,13.462171411722627,0.2453443807128039,0.6309655928632245,0.1002511652290695,0.3470012929266137
403,0.0292376237149884,0.7797710463671395,-1.4716975884737302,1.7413852415810875,15.643064373050546,0.1142666572867296,0.9253222343377918,-0.7843969419966967,1.2038883051610887,-2.8420913515070474,-2.5538460708579045,-3.2404823047778724,0.7525350743820364,7.318342108727247,4.705072724994543,0.8349333700169376,0.556987539621744,0.187537460647521,0.9977202534413624
406,0.0235562193972456,0.8828131489577742,-1.327957245760698,0.7539826216123618,20.19106424535064,0.1264833488202925,0.9149469253658866,-2.4788384297802417,1.3888071505870017,-1.5012474797741855,-2.1061006841866714,-3.3688167214289177,0.6270638144053234,4.785922197309,7.377379542154383,0.84950029369939,0.7089655862134391,0.1487308888855933,0.3111517023403672
411,0.0140081666642748,0.8272774418969522,-1.824192354400872,0.9334584205887546,16.784243540584136,0.2689778705027914,0.6344739286366261,-0.998093247571473,0.7883970383052554,-3.41827079056266,-1.396925043930779,-1.4379693578892936,0.5717383561291914,2.4386806267025207,4.665502880298363,0.3590420943649793,0.3930404526627986,0.1990363680385332,0.7990901349519205
426,0.0135469927798411,0.4679755435585278,-1.7710313928755077,0.7290744836781452,29.04264213030062,0.1487176547760092,0.90570323514266,-2.217652948339648,0.6818933239988582,-1.432984315910005,-1.7673494530357043,-1.6365959031741908,0.5790659111720367,6.957878657736428,8.78796421321897,0.5328511677697879,0.3977084569331623,0.0498277571716539,0.6719859563244803
446,0.0264539519146864,1.1526944255729688,-1.060819678383029,0.9546244041095868,28.178080969330107,0.353057225107831,0.6836204192943995,-2.931234128551424,1.1794133398479585,-2.314083965450476,-2.5303877282237126,-0.5166321701856837,0.7791533646661762,3.747715854344924,8.60651960303084,0.1100186778722861,0.3991005555317382,0.1947209276064518,0.8390607034852797
449,0.0169770332173465,0.8088692670035555,-2.0989349885824717,1.2225117398569414,17.086691677060124,0.5048953013219155,0.8294206390161387,-0.97639882774978,0.3649459048850936,-3.6911688287826494,-1.516409245909416,-1.7862850887275434,0.805109944474252,5.748358676894019,13.421560615911162,1.059904508864942,0.5323093400768735,0.1364747276598802,0.7642410204889258
456,0.0296338718725775,0.6546779561515026,-1.0987687075016337,1.10617677450131,26.23139825621689,0.4450635891668059,0.8071492631758885,-1.2393779043770468,1.208804387219266,-3.3243796379186903,-1.088972488549833,-3.164385827609738,0.5661589429431667,5.602186619224062,13.221556163344,0.5704677376227963,0.6797730436062078,0.0939067228843208,0.8989286522569866
459,0.0288951478999918,0.954237041273348,-1.06366998779846,1.788629825449256,15.524671777105189,0.4265926925542868,0.564437835078972,-1.9549594098435,0.4405858514306761,-1.7559020257062463,-1.051666031819892,-2.603367155338224,0.7379191343003481,7.40502580898559,11.957740995591235,0.5222235916521835,0.4239139245633171,0.0259702975205204,0.843587920673623
472,0.0162941734841131,0.9284201523195192,-1.2336320548291042,0.7006109799589277,11.660515543869314,0.4483755406808666,0.5835071866281142,-1.8949589372847957,1.26855318313914,-3.457447556035493,-2.569352385294484,-2.60659592004676,0.5543199143253481,4.222088859144623,3.475199704261108,0.7742703984624972,0.8139979437660861,0.1918025286125003,0.99890314530202
482,0.0233402082481705,0.7141120794969891,-1.7926479065565346,0.9251185387322512,11.796652675365,0.4262426528272107,0.5640757491938023,-1.3008521584753865,0.7660070315099665,-1.5987747140774613,-2.290777348664472,-2.9042934558214606,0.7045290838222658,5.922276581678174,3.480432196526856,0.7332649083461424,0.6033462538918106,0.1574096693465438,0.3475198570482075
490,0.0177673679735957,1.2864294387563908,-1.356546130748192,0.7958567618016681,24.471753518651944,0.2245780060848319,0.9387687771531176,-0.5621978227129603,0.4350275397908845,-2.1836065915179885,-2.12073081551868,-1.3452929382699232,0.6310642284271937,4.645290547507519,11.88940350286118,1.0391127413533146,0.4789196195768818,0.1705098744316369,0.9190872243237193
498,0.0277289887321689,0.3216589819822845,-1.3680790072815885,2.14887993968026,27.74227925774705,0.1935897375260046,0.7770623241962185,-0.7261079112744837,0.4134025448334981,-3.177351389305751,-2.6986912675313084,-1.3045178474751036,0.6453173155007742,2.6571728837563557,10.798809540245976,0.5814044414073,0.8644123824518143,0.0631328831732084,0.6372302910444746
