arm,prev_end,prev_window_mean,new_inf_window,tx_total_window,tx_success_window,pn_notified_window,pn_attending_window,cohort_reinfected,cohort_n
A,0.20081783553663454,0.19331704730779345,8852250.0,3542640.0,3120690.0,662940.0,436740.0,52,100
B,0.18968125035012043,0.18204092911048153,11473560.0,5248710.0,4656240.0,2897100.0,2737890.0,45,100
