hiv.beta_m2f,log_syph.beta_m2f,syph.time_to_undetectable,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.007469224437863334,-1.241725328693752,19.17589671778556,-2.7946313064336783,-3.4472169325356328,-3.2421880504739025,0.7363215337293025,0.2927620088016011,6.767855099458992
0.04163557913454559,-2.026319359866624,25.61499981478601,-2.8662209281989615,-3.312691860366454,-1.5843968894226812,0.8816302463160652,0.09143716919550449,9.626436947931623
0.03822363267184752,-2.093773889467837,13.563139996619949,-2.548534657600011,-2.9558116182779464,-0.8594779396884662,0.7408303188083661,0.21576524580398188,2.1308801866017393
0.008265602828708352,-1.4096378872573836,18.312801311389876,-2.6372084987434388,-2.499299573573926,-1.3919943950176212,0.5870988018088207,0.1832271154183528,3.219528143361328
0.043084345351401446,-2.2065417955240894,12.228308902731964,-2.644485673505599,-2.5243377932151128,-3.3227641367434155,0.6541156863292275,0.2556846647039221,13.09647428197206
0.03862148738861787,-2.1412802109557205,15.07076985286788,-2.978128111901674,-2.203055844790683,-3.674533016599968,0.6303018632638744,0.11663757771829264,4.166857946115888
0.024767380639041724,-1.1142588667414695,18.130631667328444,-2.4620528018503993,-2.791036558856225,-3.7724002202563467,0.5999766115371614,0.26702738163208917,9.337757176844924
0.031099307865023174,-2.2455830276544027,16.40906819565446,-2.7802709975157933,-2.381422972888138,-2.780433539399031,0.8999318563691718,0.15062787011694806,12.217053855490523
0.032896661680867106,-1.6295978227832078,18.0918441752669,-2.747956258646429,-2.417218763354551,-1.207783542960294,0.7290642608700452,0.1861640694008751,3.6550538586951715
0.04319404640820366,-1.613831649141545,14.023498121283346,-2.9317395221942597,-2.7496135840357696,-1.1288473820991882,0.5889948811630508,0.2742588080994788,5.197962211882149
0.012197306953118242,-2.16979975981647,29.626560554137416,-2.8341894838660737,-3.32232499359359,-3.5778800639206496,0.6859944384482175,0.28445137504450624,7.565842734401839
0.005561745038373098,-2.019458791724551,21.701972492771606,-2.3616092959081563,-3.5023245354794046,-3.6595769757659546,0.6141055809127893,0.1838805810405072,12.785302374594789
0.005392887071187071,-2.12670022283715,27.099448286682485,-2.994566081085045,-3.287737254500041,-1.0111303110059384,0.616703233310852,0.13419367195437,11.669286801371275
0.03356075114765098,-1.1960773510339133,11.34949954517779,-2.871971313208011,-2.508992989056418,-1.8769178433152756,0.7637016756181234,0.10269735372974845,2.0260304806276928
0.0227763905430516,-1.0723996828495765,24.08102814024847,-2.680063514840854,-2.4720496344264986,-3.2783824416269214,0.7459106665543562,0.06605114778244463,5.836340945180191
0.03217193829297648,-1.2693675274867207,21.55401195830849,-2.6824742967019017,-3.450115764371869,-2.038992814462918,0.7652419933325812,0.08299959638052484,9.150694214138584
0.04397041979483706,-1.0498326281458856,28.375859559655755,-2.7432144927538613,-2.262613108683177,-2.034741692315844,0.5790946205515968,0.24356401486797136,4.664013092398969
0.012027014541304379,-1.1609029834662152,20.458783184765423,-2.7728019524282344,-2.4399892963803156,-1.2429618358683516,0.5753599761911712,0.0625763978381142,13.12852129394065
0.00583013304604396,-2.2312017838077085,24.40183922692561,-2.5562861492967093,-2.512712555275556,-2.390822685836004,0.6736140887193464,0.1502529459681206,10.373109433314037
0.014079595358341884,-2.1469247778743825,17.68353743340743,-2.6839975750077145,-3.3887656501636414,-1.2451878033212207,0.7429034931083613,0.2769515488556473,3.2793685184597523
