rung,mult,ept,ct_prev_end,ct_prev_window_mean,ct_new_inf_window,ct_tx_success_window,pn_notified_window,pn_attending_window,mean_partners_per_index,mean_notified_per_index,cohort_reinf_rate,cohort_n
x0,0,False,0.21739861079991038,0.20316779538649046,11442240.0,3108510.0,0.0,0.0,1.5367751060820367,0.0,0.59,100
x1,1,False,0.21147274662483895,0.1979099156050733,11330880.0,3359070.0,610740.0,407160.0,1.5319186966957765,0.1806598232980951,0.55,100
x2,2,False,0.1994846227102123,0.19132689871749908,11395260.0,4010700.0,1586880.0,1529460.0,1.5362373797222353,0.37886903351187373,0.57,100
x3,3,False,0.1869363060892947,0.18019114380453768,11472690.0,4766730.0,2984970.0,2923200.0,1.5374801692226334,0.5792790410717433,0.56,100
x5,5,False,0.15108397288667302,0.14667540122415115,11804160.0,6797310.0,6987840.0,6931290.0,1.551120177905203,0.9770083255224128,0.71,100
x8,8,False,0.1406565090746135,0.13172383236425428,11586660.0,7301910.0,8416380.0,8350260.0,1.5567970857122841,1.1239973379102595,0.66,100
EPT,5,True,0.15024368382723657,0.14604503106098865,11845050.0,6874740.0,7066140.0,7066140.0,1.5508349031585493,0.9775408306966367,0.66,100
