hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_detectable_f_2016,syph_detectable_m_2016,syph_seroprev_f_2016,syph_seroprev_m_2016,syph_anc_2000_2015,syph_prev_f_2016,syph_prev_f_2020_2025,seed,draw_idx,status,log_lik,weight
0.1493127794971981,0.12097921062059426,0.030032432771046856,0.00625,0.08447124911293734,0.007781057150523209,0.006287660466334818,0.12235041588408908,0.09326696358396647,0.11756088390559336,0.09686074590823719,0.05274064725158745,1000,1,ok,-58.29602571012505,7.813731556060441e-25
0.09269467557137014,0.06964637364782549,0.01048691707724011,0.012106537530266344,0.1062747612256343,0.01276706618030224,0.00842911877394636,0.14330380406461699,0.11187739463601533,0.12238895608231183,0.10943199583116206,0.055123636224348585,4000,4,ok,-74.94867992631336,4.578283181195866e-32
0.11632683419729718,0.09169477117773737,0.018607953671119982,0.0,0.13219045807508392,0.0774557578866376,0.07845216008481315,0.2764811490125673,0.2478134110787172,0.19415602191478104,0.2303154655039754,0.19413621703673925,3000,3,ok,-419.4956788594684,1.0613100057253093e-181
0.03450923501922201,0.024265552895026504,0.03855065318414585,0.0,0.09998571380221548,0.04170779861796644,0.04061442332725853,0.2559230009871668,0.20827909398594116,0.1903626952137247,0.2102665350444225,0.12855638529577268,9000,9,ok,-295.0037569835914,1.2359388129703255e-127
0.12892058350513672,0.10362953327683117,0.015168002265892913,0.10480887792848335,0.09538724845109388,0.011515310128238681,0.01021505376344086,0.16540172729651922,0.13870967741935483,0.1520548729511118,0.1319026432870976,0.07851894273019638,22000,22,ok,-109.78883641407404,3.3869980013281214e-47
0.09653046410255448,0.06915131935149607,0.013060753964703214,0.008393285371702638,0.16427846037887298,0.005630918863578193,0.0034201525914233097,0.09598157153826466,0.07129702709813207,0.0920268868761037,0.07396979779882262,0.03728923501098221,2000,2,ok,-33.3860796634257,5.141745769019821e-14
0.05932366007955739,0.04144290977317465,0.018524097727661133,0.2415795586527294,0.043161093767563094,0.0017220172201722018,0.0012531328320802004,0.08683886838868389,0.05288220551378446,0.07989872575043297,0.06592865928659286,0.021983080121055217,23000,23,ok,-29.927756289142312,1.633207469312526e-12
0.022745397856057073,0.015859000545953666,0.013397589776221215,0.01909307875894988,0.16573199457298282,0.056355208587460355,0.05090439276485788,0.23298365454989023,0.19896640826873385,0.1711131536356971,0.19077823859477921,0.11323398876899504,16000,16,ok,-269.1347031972493,2.122190090815779e-116
0.12285131756827451,0.09612279806879383,0.029289530197364976,0.08443908323281062,0.16240892631059983,0.07393517278328422,0.07993771087464313,0.2735065630859898,0.2408512847132105,0.18455795402199363,0.22582373426198768,0.20326635900183346,15000,15,ok,-400.71241303318504,1.5251443813505335e-173
0.1644444902813218,0.1366742798011885,0.026317231813038054,0.00589622641509434,0.14350256519929236,0.07364438839848676,0.07592592592592592,0.24489281210592687,0.21746031746031746,0.15872286971417732,0.20706179066834804,0.18789790434224415,20000,20,ok,-330.47894470116745,4.845278007907058e-143
0.13198809537886932,0.10037184986044335,0.03695923228696641,0.2290167865707434,0.06180062986683747,0.010398613518197574,0.008123689727463312,0.1567219608814063,0.11163522012578617,0.15292050643191601,0.12527853429066602,0.07444063579165712,13000,13,ok,-101.36050821119059,1.549499250655973e-43
0.1310899491965801,0.10192880128138908,0.025424018787477576,0.17834394904458598,0.14546967203446007,0.009984639016897081,0.011712649661634565,0.14823348694316435,0.12597605413846955,0.13279785245160566,0.11239119303635432,0.06617746126726591,0,0,ok,-85.28350393947608,1.4871186196279457e-36
