hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_detectable_15_64_f_2016,syph_detectable_15_64_m_2016,syph_seroprev_15_64_f_2016,syph_seroprev_15_64_m_2016,syph_anc_2000_2015,syph_prev_f_2016,syph_prev_f_2020_2025,seed,draw_idx,status,log_lik,weight
0.11606183348459818,0.08967450262806871,0.02270207166632366,0.14374225526641884,0.1242681880105842,0.004027091341753615,0.003547423450336072,0.05216913783635365,0.03080657206870799,0.037371307042359234,0.02892768079800499,0.006795586717162073,679000,679,ok,-2.5515824585183955,0.008601577468299228
0.11004460680307669,0.08276997602745281,0.020303322549185758,0.13802083333333334,0.11697239059022402,0.0015446997489862908,0.0003782863627766219,0.02162579648580807,0.009078872706638926,0.005617648284311756,0.0020871380120010435,0.0,258000,258,ok,-2.23928842774418,0.011754541114533763
0.09333987476749203,0.071987534400458,0.020907033735873194,0.1590909090909091,0.11361380396355907,0.014122759369907659,0.012576289994451637,0.04327358319753757,0.030700943221749585,0.026443454930700196,0.01671583087512291,0.002588600135736223,47000,47,ok,-2.5678005594294215,0.008463201348897406
0.1354987419767101,0.10626434296330751,0.013736347130580783,0.15173237753882915,0.09121979215118764,0.008542141230068337,0.00613268909124698,0.020690964312832193,0.013008734435978442,0.010279229305553032,0.004900696414753675,0.00019121618035785972,21000,21,ok,-2.2268894023815284,0.01190119326097818
0.14217343571701538,0.11264062254263359,0.02950429903162765,0.13663845223700122,0.1332848550304132,0.0072705836117115345,0.004389312977099237,0.039300451955197484,0.025954198473282442,0.02612635784439115,0.015131750587007565,0.002653551037695884,821000,821,ok,-2.8962708348649104,0.006093710883581094
0.11335408641847892,0.08464626431290796,0.02099387958782747,0.20363636363636364,0.11898194104566896,0.01115581565471836,0.0046074456321415404,0.029078273591806876,0.013269443420567637,0.008245687264903696,0.0037304153195722458,5.6360115687272115e-05,925000,925,ok,-2.9065271763801523,0.006031531117193328
0.12756923533689346,0.09720636798353137,0.0152414128095879,0.11042183622828784,0.112365072844169,0.0016891891891891893,0.0015102888427411742,0.027965465465465467,0.010949594109873513,0.008074357330810963,0.0020518081559374197,0.0,658000,658,ok,-1.8624882640359592,0.017133571893954324
0.11753269100812187,0.0881917133092973,0.0253634897916269,0.08787128712871287,0.11423431639705557,0.004967801287948482,0.0037404151860856555,0.03845446182152714,0.021133345801383954,0.013553840467761454,0.007526342197691922,0.00011982048763799353,774000,774,ok,-1.24403599288155,0.0318008200955596
0.15730426519019075,0.12686586816614462,0.02754532986318324,0.0463980463980464,0.1401734421423556,0.007386363636363636,0.004658095770449041,0.022537878787878787,0.015651201788708775,0.008823947481059115,0.003291139240506329,0.0002138546817645424,554000,554,ok,-6.047153701629289,0.0002608980319640671
0.10269564007233711,0.07939383767038187,0.01941249287034291,0.06775407779171895,0.11117700774560406,0.008415934168692725,0.00546345139412208,0.031232466803815223,0.01544837980406933,0.008896522031197842,0.004588325261279633,0.00027912898272587904,950000,950,ok,-1.6141499150170602,0.02196341592065173
0.14217343571701538,0.11264062254263359,0.02950429903162765,0.13663845223700122,0.1332848550304132,0.0072705836117115345,0.004389312977099237,0.039300451955197484,0.025954198473282442,0.02612635784439115,0.015131750587007565,0.002653551037695884,821000,821,ok,-2.8962708348649104,0.006093710883581094
0.12306245821644163,0.09314751625039941,0.02776641223494172,0.15233415233415235,0.14891773004667788,0.005994754589733983,0.0027782922763474717,0.021168977144998127,0.008334876829042416,0.009100460146742153,0.003834355828220859,0.0,14000,14,ok,-3.2183766939963956,0.0044156337898248925
0.1288511061499411,0.09730970062089786,0.021975632428368832,0.1323529411764706,0.07611238285657528,0.007905900501349789,0.0035191702167067978,0.020439645198611647,0.00907575476940174,0.007074970127803313,0.0028534370946822307,4.691607078291375e-05,888000,888,ok,-2.0869395227325596,0.013688944671333289
0.137149346609346,0.10652031416580789,0.01000816226859877,0.0829145728643216,0.09089707883648619,0.003214218188693515,0.0013108614232209739,0.026091888825865002,0.012546816479400749,0.009652961491097987,0.0030581039755351682,0.00013366235403132088,35000,35,ok,-3.7059589382477784,0.0027116820723748604
0.11753269100812187,0.0881917133092973,0.0253634897916269,0.08787128712871287,0.11423431639705557,0.004967801287948482,0.0037404151860856555,0.03845446182152714,0.021133345801383954,0.013553840467761454,0.007526342197691922,0.00011982048763799353,774000,774,ok,-1.24403599288155,0.0318008200955596
0.12668344360747136,0.09830360180076575,0.01789659848068196,0.1390644753476612,0.11821150008452778,0.001915341888527102,0.00165959800848239,0.021834897529208964,0.006822791812649825,0.005891465540162487,0.0015735641227380016,5.042680569920071e-05,151000,151,ok,-2.228288664746216,0.011884552014603304
0.1288511061499411,0.09730970062089786,0.021975632428368832,0.1323529411764706,0.07611238285657528,0.007905900501349789,0.0035191702167067978,0.020439645198611647,0.00907575476940174,0.007074970127803313,0.0028534370946822307,4.691607078291375e-05,888000,888,ok,-2.0869395227325596,0.013688944671333289
0.12293608305878853,0.08976149280241515,0.025695004301624826,0.04050632911392405,0.15755151815780033,0.005145797598627788,0.003147565265691539,0.026681913474366305,0.013701166450657287,0.008941735437739648,0.0031031807602792862,0.0,536000,536,ok,-4.452498033165714,0.0012853486934897834
0.1139191798706526,0.08395263407049694,0.024564726049186195,0.14303797468354432,0.09483625875038097,0.0089736399326977,0.006347479143997099,0.040568330529070856,0.03010518679724338,0.017079266294506696,0.009674134419551934,0.0013197885584874795,269000,269,ok,-1.0419267383837567,0.03892362267880801
0.12055210318378774,0.09375126826556995,0.015792765508977666,0.1411338962605549,0.12741438581762896,0.0048216007714561235,0.002032895952688967,0.022950819672131147,0.013491036776935871,0.00895757000553091,0.0038580246913580245,0.00010173745513328203,394000,394,ok,-1.5613723363550358,0.02315372639925239
0.11962145136353868,0.0887224922793972,0.011599648460413612,0.13840399002493767,0.12150519427412816,0.001834189288334556,0.0018241517694272164,0.028246515040352166,0.015505290040131339,0.010537300742630807,0.004469828656568165,0.00015158615499542022,31000,31,ok,-2.1879225527748947,0.012374099259923938
0.13782546423972114,0.10704281590765367,0.015046822316566844,0.06385542168674699,0.08304849857901284,0.0026080476900149033,0.0027685492801771874,0.020119225037257823,0.011258767072720562,0.00780070939698985,0.0028068384792038787,3.816667460312102e-05,140000,140,ok,-3.698108464724239,0.002733053840175322
0.11177610584485859,0.08577247519561966,0.02243611812325533,0.10920245398773006,0.12685494132052264,0.0013028103480364787,0.0007291286912139992,0.02214777591662014,0.01075464819540649,0.007144562984029758,0.0015290519877675841,3.063948982959207e-05,749000,749,ok,-2.063817802250055,0.014009144139898063
0.0954619624811217,0.07018937374966079,0.009782751687500419,0.10173697270471464,0.10133359212849165,0.0021961932650073207,0.0014741109268472453,0.024890190336749635,0.014556845402616547,0.007315820206874865,0.001488095238095238,7.434921186481542e-05,689000,689,ok,-3.7091339809749426,0.0027030860195713787
0.12756923533689346,0.09720636798353137,0.0152414128095879,0.11042183622828784,0.112365072844169,0.0016891891891891893,0.0015102888427411742,0.027965465465465467,0.010949594109873513,0.008074357330810963,0.0020518081559374197,0.0,658000,658,ok,-1.8624882640359592,0.017133571893954324
0.09922617737896064,0.07520404143957847,0.012190028448328224,0.11330049261083744,0.15908262521387445,0.0042333885514448735,0.0037947235272858693,0.031106202834529726,0.017708709794000722,0.008265045940932851,0.0032663316582914573,1.1461830702614163e-05,351000,351,ok,-3.3240518303299345,0.003972820282792793
0.0856871341313339,0.06400412357327305,0.020385509652557678,0.10843373493975904,0.12980763467828743,0.014938644851502756,0.007969570729940229,0.04926195980793171,0.025176598442311175,0.01635981466632682,0.011194029850746268,0.0009220597740960829,992000,992,ok,-2.7920330955082724,0.006763192054360775
0.09622584167887552,0.07138391906754617,0.017256378303819334,0.11124845488257108,0.14495970300234853,0.004262416604892513,0.0030920334667151692,0.03391401037805782,0.021644234267006183,0.01111531255865721,0.006580612503163756,7.595626400760031e-06,970000,970,ok,-2.0601434892161503,0.014060712802492487
0.11304243740798396,0.0865362172898737,0.01703123240066837,0.05074971164936563,0.1127202834736193,0.01529390086604017,0.005678695731819014,0.03390455131748664,0.015021066129327717,0.010121294046720833,0.0029977516862353237,0.0001039534580859916,751000,751,ok,-2.2691877988999476,0.011408289868776582
0.13660139890161258,0.10716082791118685,0.023293009894232976,0.15328467153284672,0.05398934738998395,0.005008668849932576,0.001887504718761797,0.021575804276632634,0.011325028312570781,0.006908725076598475,0.0010427528675703858,0.0,692000,692,ok,-4.109841822791397,0.001810650637130152
0.11304243740798396,0.0865362172898737,0.01703123240066837,0.05074971164936563,0.1127202834736193,0.01529390086604017,0.005678695731819014,0.03390455131748664,0.015021066129327717,0.010121294046720833,0.0029977516862353237,0.0001039534580859916,751000,751,ok,-2.2691877988999476,0.011408289868776582
0.13168233039814767,0.10546925552912319,0.014429058834765428,0.15365239294710328,0.11717417288400389,0.0019171779141104294,0.0013351134846461949,0.019746932515337424,0.01049017737936296,0.0069488819506610885,0.002843111915223572,2.7084233150989523e-05,368000,368,ok,-2.8927718725884706,0.006115069893480168
