hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_detectable_15_64_f_2016,syph_detectable_15_64_m_2016,syph_seroprev_15_64_f_2016,syph_seroprev_15_64_m_2016,syph_anc_2000_2015,syph_prev_f_2016,syph_prev_f_2020_2025,seed,draw_idx,status,log_lik,weight
0.13451992557881062,0.10702280662499424,0.0020406684842063537,0.24600246002460024,0.07909140309920361,0.0042258932001536685,0.0018882175226586104,0.01863234729158663,0.006608761329305136,0.004903545432469109,0.0015777018143570865,3.953194180898166e-06,22000,22,ok,-12.385788114360734,4.609319946594422e-07
0.09546296067370158,0.07073656736016617,0.008136535121656623,0.013317191283292978,0.13168631302821457,0.00975609756097561,0.0035758984444841766,0.03189493433395872,0.010906490255676738,0.011160219726471318,0.0039082855653986455,1.1745394685351444e-05,4000,4,ok,-7.19318548337943,8.293837541109096e-05
0.0962438733098064,0.06951821222175335,0.0005363246095240917,0.026713124274099883,0.09386665232386256,0.0029218407596785976,0.0012665098606839153,0.03761869978086194,0.02153066763162656,0.011347372761436809,0.005967180507210343,0.00010789855923657625,23000,23,ok,-9.922180164285894,5.414622618770678e-06
0.13126388906385403,0.0951273381227318,0.0,0.0,0.12417054137823168,0.006458756228086363,0.0028042624789680315,0.036907178446207785,0.01869508319312021,0.011994786593766552,0.005026388539834129,0.0,8000,8,ok,-10.823805626940572,2.19784585431065e-06
0.09836054549445974,0.076710906989929,0.005247606599383582,0.14164648910411623,0.05741281086217265,0.009147457006952067,0.005845816587504567,0.029820709842663738,0.01918158567774936,0.01576873356298759,0.010067958721369242,0.0007883374463103492,9000,9,ok,-5.325760777397648,0.000536744705700855
0.14869946716829585,0.11903126035134036,0.021784036001045653,0.03625,0.045898984495261676,0.004343534057255676,0.003137689184200812,0.02211253701875617,0.012366186784791436,0.009533396711916038,0.005061267980820458,0.00014853676207401498,1000,1,ok,-7.09176925687972,9.179098531357922e-05
0.12306245821644163,0.09314751625039941,0.02776641223494172,0.15233415233415235,0.14891773004667788,0.005994754589733983,0.0027782922763474717,0.021168977144998127,0.008334876829042416,0.009100460146742153,0.003834355828220859,0.0,14000,14,ok,-3.2183766939963956,0.0044156337898248925
0.1354987419767101,0.10626434296330751,0.013736347130580783,0.15173237753882915,0.09121979215118764,0.008542141230068337,0.00613268909124698,0.020690964312832193,0.013008734435978442,0.010279229305553032,0.004900696414753675,0.00019121618035785972,21000,21,ok,-2.2268894023815284,0.01190119326097818
0.11049550101027591,0.08502590498494682,0.01779070965203235,0.016209476309226933,0.15700727445599144,0.013637212777881562,0.009272727272727273,0.04390061647674201,0.025454545454545455,0.024127360988630414,0.020554984583761562,0.005152647270924899,5000,5,ok,-5.390120648793163,0.0005032880658467704
0.16431034771063835,0.13425618374858186,0.01000696078797429,0.19951338199513383,0.0376983349010139,0.0013613380007779074,0.0005633802816901409,0.020809023726176584,0.008262910798122065,0.005896219101208928,0.0025906735751295338,0.0,17000,17,ok,-11.927632885939493,7.288046625732002e-07
