draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
1,0.0273067361564868,0.7952883769616326,-1.3455917234038268,1.335246588500766,11.715204803642855,0.4622976905339359,0.7807603319755358,-2.352692253384121,1.412592298953154,-2.3975154473256817,-2.779998126254275,-2.164531130916296,0.5982122272945182,6.1306662764829305,5.141461024537673,1.0025722021030108,0.4458636323400848
12,0.0116900304246106,1.2650833978925635,-2.160082001465258,1.4522545290021591,14.101094089065624,0.1858287470500234,0.8526099826704563,-3.2361839754354467,1.4720867784852394,-2.00934182138789,-1.1941728922071266,-0.9794465527279774,0.8195097484947352,7.569072305588566,8.735497984502206,0.864433802545605,0.7102319282648096
13,0.0277510820713915,1.4130928714915445,-2.10505757270823,1.102267983809681,13.480092882063737,0.4923411906856263,0.5334247822921812,-2.5711625218393053,1.3956082615108296,-2.7532760189261225,-2.1549012849428704,-2.4118062987820763,0.6843892142904042,5.830395721394097,3.886830543235587,0.8772018125604493,0.6475176053767205
14,0.0212703342246705,1.021689098883289,-1.4732314031625016,1.1552900468363128,21.775060977954347,0.1097467487827234,0.8406846484137902,-0.0263398362527902,0.406238246762414,-2.3808914355712423,-0.9415750842898568,-2.9408141986486296,0.8852856708969625,6.115204564549436,6.581071969745105,0.9269377228292036,0.4745733924063459
15,0.0292739324404627,0.5868393924114235,-1.0745196036882931,0.8129033401512801,29.45538452755952,0.3824597956865532,0.7696308994096457,-0.9642149477845036,0.3903119734346651,-1.5865447185675503,-1.5156160414002746,-2.450627016490909,0.5639162471713993,4.940227247181896,7.854297819655076,0.3729444363672275,0.7284634587686922
16,0.0171999154638298,0.7699722625769613,-1.7241131032331227,0.8701192530267464,11.117197216648902,0.1415219878952933,0.5124006508355555,-0.7825094509416526,0.7421413756823603,-1.5422406315989918,-2.5557077573114784,-1.2274779210759377,0.6530267224145645,6.822019457593474,7.057488197956457,0.6834587840883262,0.1008186096704919
20,0.0134382679858075,0.6559676824162012,-1.231502420475166,0.8082609607636465,25.1084760467141,0.3043864637946449,0.555647924569395,-2.7104020088877325,0.8291643824252037,-2.901874436148227,-2.065665900196734,-2.5767465633150284,0.7547255782618734,4.315092309880688,2.315167311176732,0.0134584552432243,0.4981758758951061
46,0.0067641735215119,0.4859825113145523,-2.139563782308228,1.2330928943729793,11.50350772906634,0.5045094678672731,0.5083490866056826,-1.961099485508686,1.1920024848791964,-1.8445091997221883,-1.454917771971182,-0.919902883007656,0.7469526831111869,5.26278133281982,9.523545182461024,0.2938960522410216,0.4072017740859709
47,0.0293578620696659,1.0646005316746006,-1.37079496977253,0.8599408540246469,22.55779633543625,0.2142608562421632,0.8943695642256877,-2.2531985784452955,0.7531860883463259,-2.0538313017299474,-2.6830751586705874,-2.368413403893099,0.6472034696233018,3.628572578879364,10.446621823712368,1.0559631960682927,0.6124181375397494
50,0.0243064117885581,1.2885309214135756,-1.9456987072913288,2.2646641858286736,23.43763354224913,0.2750499296560433,0.6452546279911245,-1.8347404780618048,0.6042314421543803,-1.8054965306860988,-1.5724661513277698,-2.309552106288616,0.8235657521743067,6.350858506816476,2.387243329250361,0.7564646085644997,0.6860243003525809
66,0.026817019190328,0.3028107877745957,-1.7580651757676025,1.2887267850749244,16.31234043748727,0.4433266382183761,0.5349890632917574,-0.4805032617328533,0.3399720856092886,-1.3251881132219476,-0.8039745738046862,-2.2656380355193297,0.5933477288778515,3.95403458974515,4.241261356883385,0.1054117255607255,0.1973774727074959
71,0.0196742631584506,0.7547484654666505,-1.1393571661981234,2.197520616815834,14.43198233860894,0.4351847028911444,0.7950117151516057,-2.210089059743001,1.071257214843417,-1.7225817984189886,-1.236771413147735,-1.0126405173987143,0.5795463656717595,5.083536468474165,14.667332828208387,0.600453262631812,0.700474863598638
77,0.0202555028141346,1.047043610123741,-2.212274782844544,0.8891459088521642,29.25487021230384,0.5178687833872391,0.7755886549684603,-2.168844286240597,0.3589466536830409,-1.8683096618753317,-2.521551917792589,-0.8416958362290456,0.8207836627312073,3.126989064184607,5.986856719237603,0.7069434942255711,0.6598309618674146
81,0.0093107195787774,1.3235377946785802,-2.170166261855199,1.2544688524675018,20.63850667623539,0.2698354365282314,0.715470005382852,-0.6862871003896038,0.9319783955692288,-1.434301549612286,-0.91492013559301,-2.703718825595215,0.6249009186356019,7.783344883604624,11.291725531456072,0.4108651182365908,0.3491667870919804
83,0.0270607001196649,0.3700410742150199,-1.5731934661892946,1.302084209653487,18.776560981871228,0.2162682900518856,0.5356396599640745,-1.453119065944673,1.0332390510118536,-2.191952228920945,-2.4919196164631328,-2.743222527014016,0.8382237475686412,6.182180149689711,11.768337353147848,0.4644318031782963,0.8988357271962475
84,0.0135767735447688,1.2166171695523371,-1.964636827011664,0.2644895952711038,27.68837712442425,0.1183517955592438,0.6044981501647301,-0.5764464270324874,0.592222547929403,-2.132054345884945,-0.8669978877316682,-1.624032524592431,0.6257279642925552,3.9951705897048417,12.342746543898103,1.0140339830813838,0.1343002989281333
94,0.0272055274267871,0.563777561849345,-2.054691917714845,1.1827214998826976,25.594529683378216,0.1533861204017904,0.6327370855862522,-2.77732116843902,0.5675302038592428,-2.804226114301853,-1.7850906827627324,-2.1524390463979657,0.8642377232132668,3.769866017809159,5.764495508117463,0.8929323222331671,0.09320830691943
103,0.0210177805834926,1.4200735925041612,-1.1266930318704411,1.0792671158062233,20.927008626667984,0.1364889727701016,0.9496692747758568,-2.81440942983109,1.406507556180441,-1.8938551786039095,-0.833062254722797,-1.9314309677719637,0.8587128737795989,5.722695771861602,13.63637016269916,0.5089670784554617,0.3448792727389179
