care,pn,bp,poc,disease,metric,year,value
baseline,high,low,True,ng,prevalence,2030,0.010905481879829187
baseline,high,low,True,ng,prevalence,2031,0.01046076964116269
baseline,high,low,True,ng,prevalence,2032,0.010123430398426647
baseline,high,low,True,ng,prevalence,2033,0.009994745524902442
baseline,high,low,True,ng,prevalence,2034,0.01076426594275902
baseline,high,low,True,ng,prevalence,2035,0.011804497000673448
baseline,high,low,True,ng,prevalence,2036,0.011690979423551332
baseline,high,low,True,ng,prevalence,2037,0.010789657348763103
baseline,high,low,True,ng,prevalence,2038,0.009944031940009677
baseline,high,low,True,ng,prevalence,2039,0.009880760484967369
baseline,high,low,True,ng,prevalence,2040,0.01207208872894292
baseline,high,moderate,True,ng,prevalence,2027,0.014188877178470855
baseline,high,moderate,True,ng,prevalence,2028,0.010588080890636236
baseline,high,moderate,True,ng,prevalence,2029,0.009519404168775746
baseline,high,moderate,True,ng,prevalence,2030,0.008985036591538162
baseline,high,moderate,True,ng,prevalence,2031,0.008507964830132119
baseline,high,moderate,True,ng,prevalence,2032,0.008073210561601431
baseline,high,moderate,True,ng,prevalence,2033,0.007739940536792662
baseline,high,moderate,True,ng,prevalence,2034,0.00792679754151948
baseline,high,moderate,True,ng,prevalence,2035,0.008187524788853404
baseline,high,moderate,True,ng,prevalence,2036,0.008342431754471085
baseline,high,moderate,True,ng,prevalence,2037,0.007603212779499954
baseline,high,moderate,True,ng,prevalence,2038,0.0077683540195704216
baseline,high,moderate,True,ng,prevalence,2039,0.008048153602725303
baseline,high,moderate,True,ng,prevalence,2040,0.009268029839464636
baseline,high,none,True,ng,prevalence,2027,0.015234993339209201
baseline,high,none,True,ng,prevalence,2028,0.01329042151430071
baseline,high,none,True,ng,prevalence,2029,0.012615338543663392
baseline,high,none,True,ng,prevalence,2030,0.0131188460896843
baseline,high,none,True,ng,prevalence,2031,0.012164757390672815
baseline,high,none,True,ng,prevalence,2032,0.012904325398432729
baseline,high,none,True,ng,prevalence,2033,0.012032641838586855
baseline,high,none,True,ng,prevalence,2034,0.012495618920665866
baseline,high,none,True,ng,prevalence,2035,0.014676353535824083
baseline,high,none,True,ng,prevalence,2036,0.015317520751682523
baseline,high,none,True,ng,prevalence,2037,0.013921952631549977
baseline,high,none,True,ng,prevalence,2038,0.013848548336052691
baseline,high,none,True,ng,prevalence,2039,0.013313153883421202
baseline,high,none,True,ng,prevalence,2040,0.015821819809408916
baseline,low,high,True,ng,prevalence,2027,0.01555343500103919
baseline,low,high,True,ng,prevalence,2028,0.013345854994947167
baseline,low,high,True,ng,prevalence,2029,0.013626194195973763
