draw_idx,seed,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_top_spreaders_50pct,passes,n_pass,status,source
29,100290,0.0,0.07708947885939037,0.12369714847590954,0.0,0.0,0.0,0.0,0.07920792079207921,0.00010293074952172071,0.0,0.32667617689015693,0.03258893793819787,0.20256776034236804,0.021033497792781096,10.024143085290792,0.15948979696234863,347.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
56,100561,0.005434782608695652,0.03230953330674113,0.09134423613881133,0.0,0.0,0.0,0.0,0.012232415902140673,0.0,0.0,0.26674065852756196,0.012800417972831766,0.09174990751017388,0.004702194357366771,20.838433486602188,0.153781421720584,307.0,"{'fsw_band': False, 'nontrep_band': True, 'trep_band': True, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",3,ok,exp35_p2
33,100330,0.0,0.06527312167225399,0.11122066653520016,0.3076923076923077,0.6923076923076923,0.0,0.0,0.14376996805111822,0.00025562970658758987,0.0,0.28086194302410517,0.03575973530160346,0.1643535427319211,0.022779333163654873,7.854139317734585,0.15435067257927612,286.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': False, 'secondary_band': False, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",1,ok,exp35_p2
33,100332,0.49056603773584906,0.10011732499022291,0.16229956980836918,0.5279583875162549,0.44213263979193757,0.02990897269180754,0.0,0.6027397260273972,0.017699882785341913,0.0,0.3435266084193805,0.08389766741911212,0.21405877680698968,0.060446450965638325,4.0945906958686695,0.14206223960699532,386.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': False, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",4,ok,exp35_p2
44,100440,0.466403162055336,0.14814814814814814,0.2162485065710872,0.48789571694599626,0.4871508379888268,0.02495344506517691,0.0,0.6116838487972509,0.1316058845362961,17.683248333333335,0.37781456953642384,0.11666666666666667,0.24900662251655628,0.0976775956284153,3.23841059602649,0.17314549096759743,945.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': False, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",4,ok,exp35_p2
29,100292,0.6533333333333333,0.1380566801619433,0.2034412955465587,0.6202131859455191,0.35846821950256613,0.021318594551914725,0.0,0.7564575645756457,0.13526620282631388,18.80519,0.3956475205137353,0.11259592484784335,0.24759186585800927,0.08189997353797301,3.5138706933523047,0.1613982657899042,845.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
57,100571,0.6862745098039216,0.13814351023653348,0.23772609819121446,0.5906040268456376,0.3896149770399152,0.019780996114447193,0.0,0.8043478260869565,0.137582762360107,18.31298333333333,0.43288201160541584,0.1455233291298865,0.22862669245647968,0.10844892812105927,2.974657150806714,0.14955351681398607,940.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
57,100572,0.6756756756756757,0.1496264254817145,0.23908769170271332,0.6013231197771588,0.3770891364902507,0.021239554317548745,0.00034818941504178273,0.7357859531772575,0.14547532616459524,19.06577,0.4412783981517135,0.14201183431952663,0.2391220639199076,0.10373914138234924,3.1073353869849822,0.14521947716075584,1003.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",5,ok,exp35_p2
56,100560,0.588957055214724,0.12935522627152582,0.24389267120544653,0.5211138310893513,0.4586903304773562,0.020195838433292534,0.0,0.5664335664335665,0.14998582808726596,21.070788333333333,0.44900306748466257,0.13153176229508196,0.19631901840490798,0.08350409836065574,3.4136474692504826,0.14951161273535557,993.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': False, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': True}",4,ok,exp35_p2
31,100310,0.4406779661016949,0.15067466266866567,0.2599325337331334,0.5487281136438719,0.4251734390485629,0.026098447307565244,0.0,0.697986577181208,0.14531537892987836,20.32524,0.4600183823529412,0.16979601298099212,0.21507352941176472,0.12019007881316643,2.709241367195342,0.12019323770765757,1037.0,"{'fsw_band': False, 'nontrep_band': False, 'trep_band': False, 'primary_band': True, 'secondary_band': True, 'early_lat_band': True, 'sustained': True, 'hiv_pos_trep_band': False, 'hiv_trep_ratio_band': False}",4,ok,exp35_p2
