hiv.beta_m2f,log_syph.beta_m2f,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.017374728924832203,-1.6340054101065693,-2.3597036257050408,-2.597540843628644,-2.524787067081354,0.6231816369180655,0.2149944179851399,10.217328110956455
0.010983353817401828,-1.654202352908594,-2.4280348031003953,-1.844961503325611,-0.6216819557232212,0.7084389126433192,0.28572660401864153,4.531782085203707
0.0053554187055686415,-2.048298774622971,-2.5645367084820756,-1.6868202854362773,-1.0936833246093323,0.5922789961864069,0.16923689202279774,12.292644380449591
0.009945117675979076,-2.0336974411514768,-2.3717324390969807,-2.0763147654530973,-3.6637085754693604,0.6367780744164974,0.06404442087850304,7.573548000972278
0.016058971782413008,-1.4431415617105825,-2.1576130972210343,-2.783919543635439,-2.356818605118104,0.8297797824540565,0.23382400732650638,6.531209397890723
0.011300597395737896,-1.6149181554739291,-2.7506821515083084,-2.376943481771071,-3.077395210163467,0.7264900373232384,0.05722367000419785,3.818817242067616
0.008334864742679832,-1.4456944389765085,-1.9983802438201115,-2.624678069750517,-1.35655339731586,0.6534849077403194,0.27980763290495514,8.009556589822548
0.023170728574015576,-2.2529865789949866,-1.5699963965543358,-2.3071563704697176,-3.859509736633928,0.6959900065631626,0.21730805451807805,3.029313266116514
0.01069915486754179,-1.173396000714856,-2.7343479268165773,-1.214998379476957,-0.9642314430046768,0.5734400540233208,0.17281165178194025,6.368877668506571
0.013347773825197421,-2.149545322782907,-2.0411115000124838,-3.4630159040313986,-1.669344910204844,0.5705463464494286,0.13391547696822498,10.583009606089401
0.006812122165139525,-1.1835224321452618,-2.582957153958019,-2.9099590770769392,-2.16062611423925,0.8170373071140757,0.09063611432581903,9.879972648955459
0.02090128762437802,-2.0074289093712103,-2.398056737851559,-3.7647959617498064,-1.385058602326367,0.5652694478933064,0.19745236819493833,10.765000729824886
0.006428931993011492,-1.1864928048681112,-2.722296542843146,-1.826822466136587,-3.216074119509099,0.6383447315269302,0.26707236336923607,5.41422947963051
0.01996476836030058,-1.7194545706892161,-2.5723296586227917,-2.168662224244984,-3.6962602834715743,0.7086471419713694,0.2695137966404546,11.657166396176443
0.012435517468825513,-1.671679290311367,-2.364329418772736,-3.435802092945066,-2.1826604008589277,0.837594037388159,0.28760112547073324,3.577216843856183
0.008732263424545684,-2.123352629843471,-2.551824642673206,-3.303122432493312,-2.050497091905335,0.8368416927738633,0.11186417807332555,8.748905971745492
0.006153040265934592,-2.067601262319598,-2.4686654767759926,-3.645133537189136,-1.3970147920109128,0.7847805031098478,0.22440717565440788,4.972054597674916
0.01728124993980324,-1.6678090452353433,-2.5001098524777996,-3.6831201175349224,-2.853107698799225,0.7912771554753666,0.1975505500331109,10.959113284520932
0.005948357114057479,-1.7057281477457162,-2.5135933018374783,-1.3910182381234648,-2.5093889682471016,0.8364117643779995,0.15839793709632402,10.082745167117057
