arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263004,13885,2037,True,7.0,m_other
SOC,263004,13891,2028,True,4.0,f_other
SOC,263004,13896,2035,False,,none
SOC,263004,13900,2034,True,12.0,m_other
SOC,263004,13905,2033,True,32.0,f_other
SOC,263004,13910,2029,True,23.0,fsw
SOC,263004,13915,2033,True,1.0,client
SOC,263004,13925,2030,False,,none
SOC,263004,13927,2031,True,2.0,f_other
SOC,263004,13932,2033,False,,none
SOC,263004,13933,2031,True,5.0,f_other
SOC,263004,13941,2029,True,2.0,f_other
SOC,263004,13951,2028,False,,none
SOC,263004,13960,2028,False,,none
SOC,263004,13961,2028,False,,none
SOC,263004,13964,2029,True,27.0,m_other
SOC,263004,13965,2031,True,1.0,f_other
SOC,263004,13966,2033,False,,none
SOC,263004,13968,2028,False,,none
SOC,263004,13971,2028,True,35.0,m_other
SOC,263004,13974,2029,True,1.0,f_other
SOC,263004,13979,2033,False,,none
SOC,263004,13981,2028,True,20.0,f_other
SOC,263004,13984,2030,True,30.0,f_other
SOC,263004,13987,2032,False,,none
SOC,263004,13991,2037,True,13.0,f_other
SOC,263004,13999,2028,True,1.0,fsw
SOC,263004,14001,2031,True,3.0,f_other
SOC,263004,14003,2028,True,11.0,f_other
SOC,263004,14004,2028,True,33.0,f_other
SOC,263004,14007,2034,False,,none
SOC,263004,14009,2031,True,6.0,f_other
SOC,263004,14014,2031,True,3.0,f_other
SOC,263004,14021,2037,True,28.0,m_other
SOC,263004,14045,2029,True,12.0,f_other
SOC,263004,14049,2031,True,5.0,client
SOC,263004,14051,2033,True,1.0,f_other
SOC,263004,14057,2029,True,3.0,m_other
SOC,263004,14075,2028,True,3.0,fsw
SOC,263004,14076,2034,False,,none
SOC,263004,14079,2037,True,19.0,m_other
SOC,263004,14084,2028,True,12.0,m_other
SOC,263004,14087,2028,True,3.0,f_other
SOC,263004,14097,2029,True,3.0,f_other
SOC,263004,14103,2036,True,2.0,m_other
SOC,263004,14106,2032,True,31.0,f_other
SOC,263004,14108,2030,True,7.0,fsw
SOC,263004,14115,2029,True,2.0,fsw
SOC,263004,14124,2032,True,3.0,fsw
SOC,263004,14131,2037,False,,none
SOC,263004,14137,2033,True,10.0,f_other
SOC,263004,14140,2030,True,12.0,f_other
SOC,263004,14150,2033,False,,none
SOC,263004,14152,2028,True,2.0,f_other
SOC,263004,14154,2034,True,3.0,f_other
SOC,263004,14157,2036,False,,none
SOC,263004,14162,2029,False,,none
SOC,263004,14164,2031,True,10.0,fsw
SOC,263004,14171,2028,False,,none
SOC,263004,14173,2033,True,5.0,f_other
SOC,263004,14175,2028,True,2.0,f_other
SOC,263004,14185,2028,True,3.0,f_other
SOC,263004,14186,2031,True,5.0,f_other
SOC,263004,14187,2030,True,7.0,m_other
SOC,263004,14188,2029,True,10.0,f_other
SOC,263004,14191,2032,True,1.0,f_other
SOC,263004,14193,2029,False,,none
SOC,263004,14200,2028,False,,none
SOC,263004,14202,2031,False,,none
SOC,263004,14208,2028,True,4.0,f_other
SOC,263004,14209,2037,True,4.0,m_other
SOC,263004,14211,2032,True,5.0,m_other
SOC,263004,14217,2032,True,3.0,fsw
SOC,263004,14218,2028,True,12.0,m_other
SOC,263004,14225,2030,False,,none
SOC,263004,14227,2031,True,2.0,fsw
