draw_idx,hiv.beta_m2f,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.rel_trans_latent_half_life,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.f1_conc,structuredsexual.m2_conc,structuredsexual.dur_sw,structuredsexual.fsw_mf_conc_mult,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
17,0.0227323292894037,-1.1830850890006748,2.251333386409473,0.2989974094200918,21.238831082608577,0.345249643393574,0.8991704514273835,-1.0306119469284063,0.7449070401844241,-2.8306516755592064,-1.7899776404737024,-0.9182765564378998,0.8303942208778335,0.1937392132439703,0.2483721421548512,5.408863465289748,5.005782893809027,0.2465631855216749,0.3106052792766198,0.456255551487395
40,0.012940765067293,-1.3087956299893193,1.3742849046052636,0.9268523146773596,29.401111706290784,0.2721935626370778,0.8108380617540276,-0.8290229989511326,0.4328594425507717,-1.962075796643554,-1.5894351225811407,-1.9383459925479076,0.5788031491547928,0.2291036574214802,0.2068397360280217,5.055792917709473,3.22813976933811,0.1582094606229852,0.1801490542162745,0.6443385483464719
43,0.0293794687225157,-1.7573377155195056,0.44030239597729,1.8991009810891477,26.820260891975167,0.1369922027777292,0.6889098311604944,-0.6926467533092628,1.307302879176672,-3.474319299979346,-3.2836807650924644,-1.6468820439944063,0.6068220862830729,0.1452692748137298,0.1796917607835146,7.2483998781132275,5.982602656998802,0.3643603860912994,0.9809689482623974,0.7170907585300526
50,0.034216747317739,-2.114446051797153,1.8703904778885936,0.9321053554430272,20.508426869907968,0.4347421687998936,0.7370222942299611,-0.0265753756030595,0.8264698654395033,-3.665462997929253,-1.798412322886617,-2.2253663492918783,0.746688782490559,0.1495322843484494,0.0775181904926407,2.5023665692871955,4.3323070151430345,0.590418501081337,0.4404197023085268,0.272181746000656
55,0.0171348102686356,-1.1735946470379213,1.188365774680936,0.5288641808842949,18.16893586428801,0.3428861726389514,0.6746775317366444,-0.4520660501165219,1.1759662180650927,-3.029428227100044,-2.947154294651293,-0.9787028836803766,0.7732007428119652,0.2990189880570539,0.1618236133095393,4.883189954932217,3.744196991734612,0.7055512278771371,0.0925330129326934,0.2194991920602813
57,0.0376089423016224,-1.3260033854389666,2.0800249830416746,1.513532255031986,19.06768699691165,0.1853263000181265,0.8701640216983821,-1.6814148993024285,0.716035623641559,-1.439244168058842,-2.4338396366569217,-1.6070533315100408,0.7138184230105487,0.15335360923997,0.1985848185796942,7.530720617796342,6.0078135365647904,0.187306031813639,0.6242079012720353,0.0907635883526806
71,0.0212512760626201,-1.2550223221806585,0.7572689190960912,1.0232307266592793,22.057004587613445,0.1933367234709729,0.7597313101708634,-0.1691992359206287,0.4942598240439059,-3.492943323210039,-3.752888860034438,-1.1862776115777307,0.6031122653379667,0.2153215236473029,0.1724122007379663,7.300463173605796,8.488122517097377,0.852962219430118,0.5425901878666822,0.4221853892055046
72,0.0303887555550827,-1.1336422859161726,2.177740639487661,0.3922297668657197,19.32865578606124,0.5389145083944245,0.7434172051035429,-0.1985316321592156,0.4676201416454854,-1.894325327352628,-2.717782821613539,-3.796473095611357,0.5986068078721432,0.1638931436409744,0.0794722899908507,4.8706658436246535,11.665346741402136,0.2286500910471563,1.0539576957543413,0.8568140536346366
76,0.0364308874023764,-1.3461335570433917,0.3659583334253686,1.3346520930256314,12.142028392796682,0.1959371184406987,0.5440120176003608,-1.654234320379273,1.3267808745323295,-3.463937668673469,-2.9153772541607985,-3.4239973955616407,0.8926615378535105,0.1426429627247199,0.204700025462605,4.383863825120165,4.573818048868963,0.9385928622829096,0.96484480064985,0.4235545598605537
78,0.0404858553616137,-1.2046149561281054,0.9208035032666466,1.7487382402931009,19.63380506818768,0.470565570763323,0.6283935287383972,-0.7071931892304799,1.0148826455837838,-3.780546911555108,-1.34544073893604,-1.9917724242311887,0.79369409995148,0.2942280072621802,0.091501979699535,7.898342543351214,6.665192051172809,0.3927904484214579,0.964016516351086,0.2417347621483528
81,0.0195377088476892,-1.2433105525125323,2.2276412665784497,0.6322762681247966,11.549417439974825,0.5017390038852192,0.9275694828627884,-1.1901383037092073,0.7069228419151181,-2.413108129660441,-2.2000667998049463,-1.6791416008323208,0.5757653961371368,0.1611126829919643,0.2477346375126013,5.601288676686852,5.886343318358878,0.7766619869249854,0.6846437075627088,0.3333309961045141
99,0.0176056506362993,-1.1133165017584832,0.9864147569144136,1.8297716941753748,18.78080423174908,0.1305837324870521,0.8824698507822979,-2.9496179556387707,1.1186842212848356,-2.8269954245198408,-3.906258400969716,-2.772447164873242,0.7700739953284826,0.1243838923468862,0.2460418921708779,6.576423590415559,5.632251795004578,0.6530524372513032,0.816401063267342,0.6950584395467541
119,0.0371830664235936,-1.3886382728025586,1.8782501992588525,0.858490189686254,14.64088357653835,0.1231785247072567,0.8691361961449302,-2.212603807080108,0.3709730464551234,-1.4356856614640896,-1.6530390161700024,-2.335343505164637,0.8381520253067472,0.1868496739908315,0.1961500998796672,7.74314067266053,3.251210946062981,0.1501621571580816,0.8904766911529799,0.8683060927300946
122,0.0149373180806784,-1.3220981956888067,1.973026050586802,0.7617505058070055,28.876090763768666,0.20039646617489,0.7165208931165773,-3.3331306499657183,0.7357913292727248,-2.4070057107756235,-2.627613163585342,-0.6926837166499924,0.8420065457040109,0.2314312034327035,0.1613041745776238,2.8568187309696027,9.796038653013111,0.8885256689571653,1.0262636129637297,0.4288589076362342
123,0.0166425164132484,-1.2251298097444565,1.4467899911488815,1.386781638604318,17.00778329501765,0.3459855728416675,0.6852819043173806,-0.7660887626292592,0.983651723930794,-3.2227578648483504,-2.146239336358996,-1.0416089360340868,0.6867586013864543,0.2681192824854915,0.0566078952810263,6.559957995690289,3.0569135830982432,0.5212500861501653,0.94911697194274,0.3400582034330617
127,0.0405726993548724,-1.3479367644971187,1.412607250554346,0.5045888154837854,21.98052172013086,0.2258149663837827,0.6352964973898744,-2.361546368609967,1.2840886213478904,-3.713443023773968,-3.016609719404303,-3.271025262889407,0.64806359599472,0.0918428795842199,0.1205846990838099,7.499069186578687,5.694163089727327,0.588210310996931,0.0064588755451864,0.1502651932809747
147,0.0465927076203888,-1.7951266052486563,1.985522877299172,1.0432953266525808,12.324997468189306,0.3496761854632205,0.8388181567565787,-0.1498394783003398,1.2350654486876278,-2.9819363484007977,-1.781416586788506,-3.6094647150192656,0.6974233551726475,0.2573509412093702,0.1462409344340135,2.690061561356691,6.64561665450824,0.615547191937277,0.7883512126914157,0.5491236776969982
178,0.0324101462850727,-1.2058606956651123,1.9111534258331155,1.9290698801401585,29.82804052778127,0.2435338757158191,0.5821192993361853,-2.810893693383978,1.2095914979241067,-1.3327762379325518,-2.43853623027222,-0.9044400934140177,0.6641230058779967,0.1006483468556694,0.1395112347230126,4.525824106025635,8.474767585701377,0.1665123049893782,0.1023420865388763,0.0245346644723854
182,0.0095220480898037,-1.0805138236556058,0.4593271386784521,0.4486649835988369,23.872870081558556,0.1715694985425994,0.5983575867210065,-0.647211224338585,1.0568668160694146,-3.146774725416708,-2.3238993584842484,-3.715680873863183,0.7037374753382843,0.1586445036093032,0.1368573640496471,5.852506460265015,9.862088649164331,0.5280376763019137,0.7607408060108559,0.0350356568003468
242,0.0319861661005314,-1.43413710765294,1.7241481925737128,0.3752319768959478,22.18446342787258,0.4912698599946746,0.7200147334293738,-1.1586757866868544,1.3042177113935172,-3.220075320211415,-2.4119882292148214,-1.8997678368021356,0.7994595533953345,0.1731958349765035,0.066311262098995,5.157415132816515,4.216785093207208,0.5481715408847952,0.1484416460241387,0.0914646909624549
249,0.0333674503430759,-1.2806429517196565,0.9469245907152136,1.4404209664710643,21.405187255420813,0.3644425721607469,0.7262048490449788,-1.8904764161775585,1.071797327945068,-2.4369862103272597,-1.2770113425742875,-1.8071905263280068,0.7566665071081923,0.0902580019122384,0.1323369568479686,7.692822624175069,12.732033938183232,0.7468636565993713,0.119948505434906,0.2113100383616379
266,0.0284537947591307,-1.0531657202668472,0.8355107406942771,1.6524938691541626,22.33602139106577,0.3907807390590589,0.7071928395341015,-1.1154188722381786,0.8314706449453944,-2.2878952544627187,-3.8598245373299465,-1.7120409961227645,0.6293215108450022,0.2577430376654802,0.2452598180629355,7.747032680968104,10.710798155558065,0.1724622532874774,0.0903393674350393,0.3597503071420703
272,0.0499872052311094,-1.6829926750789497,1.0892438703611071,1.632479523550499,20.089874317682643,0.2798858937843414,0.9463782681362848,-0.8992721307565059,0.6815737495575802,-1.4046798292244125,-1.3089171022874408,-1.220977311824312,0.8317873334184005,0.1016713039802953,0.1117195227920404,7.409428741155207,4.543906739986115,0.2298542795205917,1.0164878418733303,0.509380807006926
287,0.0486592333252085,-1.1439864661296395,0.4914913576554789,1.4739210421062112,28.515588296026337,0.2046062875814949,0.7038078234418388,-0.3830245876566427,0.5179776098824399,-2.450209286872038,-3.780722037814257,-1.8597023099273613,0.7224648740837961,0.1785231323801181,0.1776726891591814,2.878039139023875,4.639694533756646,0.2900881257078198,0.2161736232527892,0.154823406916547
300,0.0260487674479046,-1.4476881231954128,0.8411988250386747,1.173282172233855,17.746850930665833,0.4184761855719068,0.6914841776697961,-2.692457722729634,1.3947194024362124,-3.374738198620967,-1.3294464683427076,-0.7716197647927387,0.6126875385393166,0.1429649385444393,0.1843621341966497,7.794765983888798,5.66580583127193,0.6361709493193505,0.9037702966482944,0.0277336747823661
