ng_inf,ct_inf,tv_inf,syph_inf,hiv_inf,ng_tx,ct_tx,pn_notified,pn_attending,lbw,sga,svn,births,syph_congenital,syph_congenital_deaths,sweep,scen,draw_idx
7063.455199999999,4851.9996,26339.4264,0.0,100.75760000000002,4608.7916000000005,4608.7916000000005,0.0,0.0,138.976,668.8220000000001,1046.663,5728.417,0.0,0.0,baseline,baseline,288
7063.455199999999,4851.9996,26339.4264,0.0,100.75760000000002,4608.7916000000005,4608.7916000000005,0.0,0.0,138.976,668.8220000000001,1046.663,5728.417,0.0,0.0,pn_coverage,none,288
7104.2794,4977.9466,25383.966400000005,0.0,85.12280000000001,4635.7182,4635.7182,615.8374000000001,125.07840000000002,125.94700000000002,649.7128000000001,1017.1306000000002,5723.205400000001,0.0,0.0,pn_coverage,low,288
7264.9704,4623.5578000000005,25530.7598,0.0,99.88900000000001,4786.854600000001,4786.854600000001,1682.4782,691.4056,121.604,651.45,1030.1596000000002,5725.8112,0.0,0.0,pn_coverage,med,288
7422.187,4115.4268,25726.1948,0.0,85.12280000000001,5571.200400000001,5571.200400000001,3479.6116000000006,2108.9608,120.73540000000001,627.1292000000001,978.0436000000002,5731.022800000001,0.0,0.0,pn_coverage,high,288
7264.9704,4623.5578000000005,25530.7598,0.0,99.88900000000001,4786.854600000001,4786.854600000001,1682.4782,691.4056,121.604,651.45,1030.1596000000002,5725.8112,0.0,0.0,care_seeking,cs_x1,288
6848.042400000001,3926.9406,27285.3318,0.0,102.4948,5651.1116,5651.1116,1969.1162,797.3748000000003,123.34120000000001,636.6838,1014.5248000000001,5711.045,0.0,0.0,care_seeking,cs_x1.25,288
6977.4637999999995,3860.0584,26264.7268,0.0,101.62620000000001,6038.5072,6038.5072,2174.1058000000003,839.0676000000001,105.10060000000001,629.7350000000001,1009.3132000000002,5724.0740000000005,0.0,0.0,care_seeking,cs_x1.5,288
7077.352800000001,3599.4784,25437.819600000003,0.0,92.07160000000002,6678.6654,6678.6654,2327.848,905.0812000000002,102.4948,633.2094000000002,986.7296000000003,5717.9938,0.0,0.0,care_seeking,cs_x2,288
7063.455199999999,4851.9996,26339.4264,0.0,100.75760000000002,4608.7916000000005,4608.7916000000005,0.0,0.0,138.976,668.8220000000001,1046.663,5728.417,0.0,0.0,dx_x_pn,soc_none,288
7104.2794,4977.9466,25383.966400000005,0.0,85.12280000000001,4635.7182,4635.7182,615.8374000000001,125.07840000000002,125.94700000000002,649.7128000000001,1017.1306000000002,5723.205400000001,0.0,0.0,dx_x_pn,soc_low,288
7264.9704,4623.5578000000005,25530.7598,0.0,99.88900000000001,4786.854600000001,4786.854600000001,1682.4782,691.4056,121.604,651.45,1030.1596000000002,5725.8112,0.0,0.0,dx_x_pn,soc_med,288
7422.187,4115.4268,25726.1948,0.0,85.12280000000001,5571.200400000001,5571.200400000001,3479.6116000000006,2108.9608,120.73540000000001,627.1292000000001,978.0436000000002,5731.022800000001,0.0,0.0,dx_x_pn,soc_high,288
,,,,,,,,,,,,,,,dx_x_pn,poc_none,288
,,,,,,,,,,,,,,,dx_x_pn,poc_low,288
,,,,,,,,,,,,,,,dx_x_pn,poc_med,288
,,,,,,,,,,,,,,,dx_x_pn,poc_high,288
0.0,3792.3076,33443.705799999996,0.0,70.3566,3840.9492000000005,3840.9492000000005,0.0,0.0,108.575,667.0848000000001,1044.0572000000002,5980.311,0.0,0.0,baseline,baseline,266
0.0,3792.3076,33443.705799999996,0.0,70.3566,3840.9492000000005,3840.9492000000005,0.0,0.0,108.575,667.0848000000001,1044.0572000000002,5980.311,0.0,0.0,pn_coverage,none,266
0.0,3939.9696000000004,34913.37700000001,0.0,60.802,3935.6266,3935.6266,489.0218000000001,99.88900000000001,118.9982,664.479,1050.1374000000003,5982.9168,0.0,0.0,pn_coverage,low,266
0.0,3739.3230000000003,31855.905,0.0,72.9624,3957.3415999999997,3957.3415999999997,1372.3880000000001,538.532,283.1636000000001,822.5642000000003,1289.0023999999999,5951.6472,19.1092,0.0,pn_coverage,med,266
0.0,3271.1476000000002,29151.9532,0.0,76.4368,4133.6674,4133.6674,2456.4008000000003,1472.277,253.63120000000004,768.7110000000001,1161.3182000000002,5962.939,13.029,0.0,pn_coverage,high,266
0.0,3739.3230000000003,31855.905,0.0,72.9624,3957.3415999999997,3957.3415999999997,1372.3880000000001,538.532,283.1636000000001,822.5642000000003,1289.0023999999999,5951.6472,19.1092,0.0,care_seeking,cs_x1,266
