draw_idx,hiv_prev_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
0,0.049888036185284805,0.00018252613167840003,4.5454545454400006e-05,2.745065789473684,0.0,0.0,0.0,0.0,0.07739127080828101,0.1311159965310294,0.28111911852062,380268.3,134094.55,612933.85,1.1058936009455462,1,101.10589360094555,322
1,0.1452747419931168,0.2506174958289994,0.11423352887092361,2.9516849178374476,0.5688616905386616,0.4097239832460978,0.26385924338670264,0.12641677336719861,0.0751631909086904,0.000588620907043785,0.1356741198159492,300154.35,817.8,212633.8,2.955019172911262,0,2.955019172911262,135
2,0.1327115595528488,0.2897442601438958,0.1632984561483538,4.341670358892435,0.6872997830074419,0.4605532075448446,0.35952442448375405,0.17992236797139982,0.01086236004045,0.1170969907986898,0.1801819647922544,47884.8,95160.6,281478.35,3.2172507204557523,0,3.2172507204557523,161
3,0.142138370591911,0.2629973815802372,0.163157159395824,4.914820202024914,0.693081689151507,0.451850186824994,0.3741320158678902,0.1740177973071146,0.0732586949120968,0.011171034441925002,0.09398108454027301,292707.15,10106.5,137299.05,3.537945260094078,0,3.537945260094078,187
4,0.10719191154337201,0.32377722377031803,0.19731785824527542,2.755461603272723,0.6719092652728943,0.4319134111099546,0.38419283210817684,0.18389375678186742,0.014212459476979,0.0570636152885232,0.0,70823.8,48382.15,0.0,3.921722163056395,1,103.9217221630564,443
5,0.09435535446085622,0.37122037378477124,0.1746335207502882,2.7419483504641575,0.6820811246358822,0.48808994608699346,0.3340622964708582,0.177847757442147,0.08287493427203281,0.20546801820390623,0.2106304408516642,381658.85,199296.7,407206.4,4.388242014636435,0,4.388242014636435,264
6,0.136578691731646,0.19045629670094402,0.08560648326929202,5.443292998270394,0.49628856256635706,0.4034250212841104,0.4128523861977464,0.18372259251814183,0.05688242391353561,0.07872526499650481,0.28531480140382526,248472.0,70226.4,554772.9,2.0990473032644115,0,2.0990473032644115,72
7,0.13808489191929102,0.09004084171217541,0.045207281717789004,2.9049701961576906,0.23564661819784086,0.25126142876370566,0.0970496887119338,0.051688882524359804,0.07665578630715982,0.051285277396014406,0.0013803291141847196,317912.5,45425.6,2189.5,1.342667892329628,0,1.342667892329628,30
8,0.1161654975743148,0.32683015659416964,0.1861388937682776,2.9576111974609103,0.7790914841009714,0.4902902853709178,0.33495353862599686,0.17475617600308363,0.14209835223923123,0.12157129849365081,0.11350797468151382,634657.75,115248.9,206279.9,4.578091703490869,0,4.578091703490869,274
9,0.1461675885397716,0.29290260583793826,0.15869932902763623,4.040050295497674,0.6035511338383989,0.48149583093751447,0.3444511734561844,0.1740529956062996,0.0273989506719206,0.2785793444217392,0.0,121354.85,237792.75,0.0,3.453500357217245,1,103.45350035721725,418
10,0.08956090489241,0.21894681454169462,0.1310358274831104,2.2963870317023236,0.5604834337037724,0.43142674206473003,0.24185083362203263,0.12672242431323583,0.036315757401654804,0.006507746805764001,0.21997566680591163,172696.45,6752.65,389915.15,2.7802648198466056,0,2.7802648198466056,119
11,0.1273145904937096,0.1951899859605196,0.0889515989542694,3.7697952919968265,0.31172239347187664,0.41599671049509085,0.2581389875211272,0.12586430198378062,0.0088445515250238,0.1572237150411298,0.0,46121.6,128397.5,0.0,1.9050939421462065,1,101.90509394214621,348
12,0.0790854902547906,0.0551379933521808,0.028644980107652603,1.5956042850676455,0.1222222222222222,0.11973494670123881,0.0543935465283778,0.025871506770383003,0.09163857101325681,0.2066624559674258,0.32205978624783843,431872.35,207693.65,724482.35,1.344674736691735,0,1.344674736691735,31
13,0.14391939634610662,0.0884825661100224,0.0375714491471366,2.4549455269655143,0.2166408908134856,0.22426977996115466,0.12069241404936142,0.0550378059894836,0.048075962656992204,0.06229126380119761,0.086881117382658,205198.2,54183.6,132998.35,0.9692549665786387,0,0.9692549665786387,11
14,0.1246380442494214,0.3687468897156994,0.2554061858095518,3.3291836980197957,0.7785872010364329,0.5120629073645349,0.3202977371757762,0.16763935545968742,0.07266395658208422,0.2586505494272576,0.0002530279638842931,307495.7,229898.95,448.05,5.303301680066609,1,105.30330168006661,485
