draw_idx,hiv_prev_15_49_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
0,0.06374873291857996,0.00018252613167867403,4.545454545454545e-05,2.745065789473684,0.0,0.0,0.0,0.0,0.07739127080828134,0.13111599653103007,0.2811191185206203,380268.3,134094.55,612933.85,1.0860926056122666,1,101.08609260561227,320
1,0.22134989152722664,0.25061749582899984,0.11423352887092404,2.951684917837448,0.5688616905386621,0.4097239832460981,0.2638592433867029,0.12641677336719898,0.07516319090869077,0.0005886209070438754,0.1356741198159496,300154.35,817.8,212633.8,3.0498047322358808,0,3.0498047322358808,139
2,0.20403714091009456,0.2897442601438963,0.1632984561483543,4.341670358892435,0.6872997830074423,0.46055320754484513,0.35952442448375443,0.17992236797140043,0.010862360040450537,0.11709699079869032,0.18018196479225496,47884.8,95160.6,281478.35,3.2873037788987536,0,3.2873037788987536,164
3,0.21884869523162812,0.26299738158023744,0.16315715939582442,4.914820202024914,0.6930816891515075,0.45185018682499434,0.3741320158678905,0.1740177973071151,0.07325869491209737,0.01117103444192572,0.09398108454027368,292707.15,10106.5,137299.05,3.6291576818535556,0,3.6291576818535556,193
4,0.15620908895093552,0.32377722377031865,0.19731785824527587,2.7554616032727233,0.6719092652728946,0.431913411109955,0.38419283210817723,0.18389375678186776,0.014212459476979683,0.057063615288523536,0.0,70823.8,48382.15,0.0,3.9122950209054133,1,103.91229502090542,442
5,0.13645442889234766,0.37122037378477135,0.17463352075028865,2.7419483504641584,0.6820811246358829,0.48808994608699374,0.3340622964708588,0.17784775744214745,0.08287493427203327,0.20546801820390667,0.21063044085166452,381658.85,199296.7,407206.4,4.358749663866239,0,4.358749663866239,259
6,0.2061345130016275,0.19045629670094472,0.08560648326929249,5.443292998270394,0.4962885625663575,0.40342502128411084,0.41285238619774695,0.1837225925181422,0.056882423913536054,0.07872526499650546,0.2853148014038257,248472.0,70226.4,554772.9,2.172096607552463,0,2.172096607552463,73
7,0.20856384923150073,0.09004084171217577,0.04520728171778938,2.9049701961576906,0.23564661819784094,0.25126142876370594,0.09704968871193412,0.05168888252435997,0.07665578630716013,0.05128527739601478,0.0013803291141848803,317912.5,45425.6,2189.5,1.4191876769460652,0,1.4191876769460652,33
8,0.17360085387341956,0.3268301565941701,0.1861388937682781,2.9576111974609107,0.7790914841009717,0.49029028537091845,0.3349535386259974,0.17475617600308418,0.14209835223923156,0.1215712984936514,0.11350797468151433,634657.75,115248.9,206279.9,4.604664351881479,0,4.604664351881479,275
9,0.22342040289479986,0.2929026058379386,0.1586993290276368,4.040050295497674,0.6035511338383992,0.4814958309375149,0.34445117345618503,0.1740529956063,0.02739895067192099,0.27857934442173976,0.0,121354.85,237792.75,0.0,3.5512437899241154,1,103.55124378992411,423
10,0.12665647333891414,0.218946814541695,0.131035827483111,2.2963870317023236,0.5604834337037727,0.43142674206473053,0.24185083362203302,0.12672242431323638,0.036315757401655185,0.006507746805764289,0.21997566680591202,172696.45,6752.65,389915.15,2.743923255407203,0,2.743923255407203,114
11,0.1903562066593872,0.19518998596052017,0.0889515989542697,3.7697952919968265,0.31172239347187713,0.4159967104950911,0.25813898752112774,0.12586430198378112,0.008844551525024238,0.15722371504113003,0.0,46121.6,128397.5,0.0,1.9556028088024777,1,101.95560280880248,350
12,0.11112121917149168,0.05513799335218107,0.0286449801076527,1.5956042850676457,0.12222222222222223,0.11973494670123883,0.05439354652837799,0.025871506770383173,0.09163857101325726,0.20666245596742633,0.3220597862478389,431872.35,207693.65,724482.35,1.2989094096678835,0,1.2989094096678835,30
13,0.21972396517312293,0.08848256611002285,0.03757144914713689,2.4549455269655143,0.21664089081348595,0.22426977996115466,0.12069241404936162,0.05503780598948377,0.04807596265699266,0.062291263801198,0.08688111738265866,205198.2,54183.6,132998.35,1.0617177739688228,0,1.0617177739688228,15
14,0.1901340912503188,0.3687468897156999,0.2554061858095521,3.3291836980197957,0.7785872010364333,0.5120629073645354,0.32029773717577664,0.16763935545968794,0.07266395658208483,0.258650549427258,0.0002530279638846583,307495.7,229898.95,448.05,5.353493238995645,1,105.35349323899564,486
