draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,retention_rank,gof
263,0.0076371184868225,0.8851494524551784,-2.0510931931666385,0.4508709814602482,19.903763171606343,0.3653003165469752,0.6075768217226098,-2.693665317291703,1.165447552716999,-1.7648678270620244,-1.6535624400217783,-1.633582016246852,0.6485948329559927,5.020765628139607,2.494205984702051,0.064247413517194,0.7121225898460419,1,0.4731402329854952
75,0.0287476282974812,0.6594197116274727,-2.081520852803384,0.3166601667207888,16.759352980053862,0.5831440047748047,0.914813976971694,-0.8601105443218717,1.3233462566795653,-2.206541596888186,-2.44628524909467,-2.8074265446677744,0.7867694309790534,4.426618435614512,7.556882985656867,0.0965082012819161,0.2384650408515078,2,0.4919433517238136
78,0.0211717626533129,0.8927429764096386,-2.243952108943028,0.0902080628637756,29.32758888162763,0.1239974309435783,0.5630124541472273,-3.807466264823344,0.737953717579966,-1.790601448469495,-1.5272947166423363,-1.2671713624587402,0.859649981122216,3.684687331667829,10.299478262179289,0.2493854120122228,0.1582143360209505,3,0.5537869525495479
236,0.017011967253575,1.1007074691869276,-1.9901798872722472,0.0432583879908296,11.89319529223804,0.5701600314158767,0.6190566007132138,-2.144657770693469,1.1260129507796672,-2.232998714863781,-1.3452688808255426,-2.324275775718087,0.7252523864540019,4.962112622839341,9.096361000275312,0.0633050651468676,0.2822599438981593,4,0.6609959267075811
343,0.017134096045221,0.6237350107634263,-1.6955351035506276,0.5245657298922187,22.635479487450887,0.3052917784180697,0.5008700902778289,-3.2549548096317227,0.8574208568724038,-1.9681791727315057,-1.765094088580479,-2.6626557560633826,0.6762009420579009,7.830817763529581,3.696767832274477,0.0055890154296169,0.0156062183993223,5,0.6798184900606183
68,0.0238954531571012,0.330987536589422,-2.266049215358292,1.8731370303766717,19.47589883570909,0.4796193192317323,0.8603115299996591,-3.77694774287342,1.1520932222717764,-2.174716310079574,-2.5595365012595277,-1.6478763208796594,0.7734735892279816,2.647420090848554,5.672140445349803,0.7553901839457013,0.6109898672068055,6,0.7234629161544758
480,0.0148551592936388,1.0947606224129875,-2.1176052633887874,0.0178399151542787,26.385634518824524,0.4675377701793078,0.8741980057249048,-3.765022339192413,0.5616727759471223,-1.9893536864252868,-2.79879531145294,-0.8819679842370727,0.8251198415510598,6.237671695482728,8.064793222981272,0.0668233575540083,0.6016506201068854,7,0.7498057296149845
372,0.0262580003673457,0.317954517387794,-2.0243570189357696,2.160433732988905,10.804448841049211,0.551132485411412,0.5532071620894045,-2.2904760133208617,0.9143270419488844,-1.7163577698566606,-2.636624106273267,-1.1645836257844526,0.6027203499819751,2.2723774423744567,6.983392180714516,0.7046206498781017,0.1382455216145064,8,0.848773318032415
340,0.0186695425441359,0.8167017493254425,-1.2341083813492404,0.008746657067889,14.203439279559674,0.494822907317975,0.9249174377688162,-3.2513023531648497,0.6987203337911427,-2.0448288297195414,-1.26505662139245,-1.475362404809028,0.7336375696331018,7.971626975280994,7.50624911661803,0.8837391386331408,0.6063679234742542,9,0.8725620239919873
44,0.0153419640066048,0.3128259422137449,-1.926536039282729,0.6955933018676657,21.27511151130469,0.4914654798742568,0.5571910805869856,-3.4512456726865133,1.2907043701108176,-2.037613030852192,-1.5232999406593677,-2.652595001619453,0.6189153373137641,5.636637264332081,9.598174584637569,0.2187267595229384,0.7438545136853507,10,0.912922300352572
