hiv.beta_m2f,log_syph.beta_m2f,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.016886393936323976,-1.9500899390432829,-2.665192794253439,-2.2127031657153315,-2.6717421577699367,0.8966424897373473,0.14965277863356102,5.22409486167114
0.00700866283047746,-1.35527283052737,-2.911996516102101,-3.3139752326832683,-2.9630210096463787,0.8624701693993938,0.09090597429171637,4.81831226632759
0.0437645276680465,-1.731057364707892,-2.412776750410627,-3.097034521992354,-2.792253383974186,0.5811256732157819,0.18507012582072813,6.577574968412684
0.009857564552259283,-1.8803879992935357,-2.6396675617135976,-2.6329839449678216,-2.7186245931456368,0.6482279625393148,0.2060397317321388,12.36544431055778
0.023359393725698275,-2.003215776220373,-2.6360590314664614,-2.1729515263864414,-2.113211637299749,0.8202253642622996,0.23939957196654338,12.598503442943027
0.011772474362438699,-1.2788648191268956,-2.652803291225116,-2.393467691850395,-1.9656342687840396,0.8008282025749978,0.27741270488363384,12.668649174899473
0.008450508517091391,-2.0972669248398184,-2.820705470643187,-2.4406576679815855,-2.4037331415691625,0.5943353543756051,0.17148041419565796,12.005702118968603
0.024100525530882676,-2.2457001215558714,-2.4504541300918734,-2.92072105104398,-2.9029311593386797,0.6312523296416133,0.17240217396567611,13.443734810681798
0.03251322786862376,-1.2066021373572635,-2.3447204121865575,-2.3002255990425295,-2.15928062828554,0.6160830593755473,0.2250996405654141,14.211456675536775
0.010519002797191507,-1.2673698865832719,-2.6267129719755946,-3.1269912867228418,-2.241431776527328,0.5909787260120156,0.09178978563698924,6.061176672413751
0.04467715280946638,-1.9161629280793577,-2.557088564265327,-3.492033758351438,-2.445479395069816,0.7032774955202657,0.2422030478652536,7.74722606805968
0.015215204138996071,-1.6303770953975454,-2.731567650273609,-2.990318890706523,-1.9038131402062741,0.7789184202747773,0.19701092987783508,8.187535916052575
0.014528214769183981,-1.972572704104333,-2.548880289816865,-3.3375657511794916,-3.054638644218749,0.7534140447722053,0.24172865756293088,13.792677678519222
0.04611003908036605,-2.0496669954223514,-2.757655409393293,-2.700256185615456,-2.850326709692639,0.8282791471524962,0.18542123461290755,10.643396132604474
0.02546951506919159,-1.5879039652643276,-2.926212779040898,-2.4015318576191933,-1.7951694012302313,0.8615113051752243,0.18682765770244925,2.960983314161892
0.007974905673480777,-1.900019871669098,-2.8674173339638953,-2.7936007821271813,-3.048974718569574,0.6889768335806689,0.12232259224897274,4.436968747550712
0.046704846770408065,-2.1748557738745142,-2.7349055487424967,-2.8367807516321237,-2.2532241864554354,0.7987385340192168,0.1301683220280597,8.495214628470936
0.038472562399210666,-1.6990396060199107,-2.622329120409216,-3.1006788431842227,-2.11596067345205,0.7258112492035373,0.22617469027293247,8.575289873384822
0.0266367515795246,-1.601958184402753,-2.4315649689854717,-3.156891361960128,-2.741280933017117,0.5727765137357088,0.20665627111380314,3.038156917649162
0.011448206616322499,-1.3594927517156996,-2.578820549283916,-2.758808412640012,-2.4630867793125066,0.8240788238923495,0.27813162490751325,6.787306589626698
0.020829676953124193,-2.263217766691655,-2.8881041605396396,-3.3113129955572043,-2.0483670406133117,0.5662692215559747,0.23454908815309727,9.926668892929534
0.011958389356931637,-2.2740817869265735,-2.9012220512526525,-2.224835748994466,-2.0084294995752003,0.8306293626833452,0.29719615286943823,7.676243538367879
0.0347726689331273,-1.8320349440354113,-2.667033173631599,-2.906443655364557,-2.6798190802164035,0.8118679756474203,0.10924660126093086,9.090860545797888
0.029294017621546247,-2.1906980634946307,-2.485668186651786,-2.1217821752786428,-1.8120921771652037,0.766377450086102,0.28541547729966893,6.700190493307153
0.029388080647917997,-1.0984560291018872,-2.645846287737098,-2.6235195139095193,-2.550323255718796,0.84905822478511,0.12852095114837073,3.8383234553562646
0.01260816602150417,-2.2781964326613195,-2.972326182121791,-2.4003449586456624,-1.8957724642330485,0.8129459680690581,0.1251164065384897,2.9049131466312756
0.014566329564709962,-1.0930532829847794,-2.5247610649167083,-2.2805285294637034,-2.542209134082998,0.834076404319185,0.17527368890187278,13.803515415148194
