hiv.beta_m2f,log_syph.beta_m2f,syph.time_to_undetectable,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.008677159038021144,-1.5064022191813722,10.969601914979357,-2.715713530201384,-2.637290586935803,-2.3922169370233326,0.8376600212667684,0.05776662166036491,6.440009247874866
0.030908179734505877,-1.4482274497473058,28.088401694039547,-2.6080425190308665,-3.4670744429229017,-2.848526273189151,0.8062456896293873,0.15634956638499492,12.737540453217989
0.010471094897582746,-1.996957954195113,14.363085203824628,-2.4670547731415624,-2.5796482752008134,-2.0477958012445914,0.6131992064635463,0.09667613817483935,9.91338797731558
0.028001625135411636,-1.8893832412348266,20.912418266417596,-2.557005276445965,-2.292412437968797,-2.925795594887549,0.8841863406832012,0.21549615385844212,8.78075821345875
0.014088225899717425,-1.4658893964508886,22.803744019104027,-2.57807655094558,-3.4918351117593796,-2.6257056618465837,0.6133253002025969,0.07789751724220563,10.172097397053301
0.021446605967127736,-1.4328089833293296,22.067314215692445,-2.542700036496509,-2.2194661496215824,-2.960793113285863,0.6868270008638238,0.0688287800218632,9.244427266177151
0.014453082139713865,-1.3306386941968844,19.49561069664466,-2.673944897055809,-2.4223271981998913,-2.9410346672639682,0.8671227764177963,0.2002768548163843,9.396507643818547
0.041347689783452324,-2.0129820085627985,27.530144115552,-2.710025742598903,-2.585262510182229,-2.2872082459665255,0.7400198997425942,0.12735750526374195,9.186132425444658
0.022365723404875575,-1.903580869825912,16.397666254552846,-2.6885252662956134,-3.318264750648558,-2.3697963552682006,0.775393411086798,0.21439949873994374,11.088762216987583
0.013055982729636952,-1.110546224270169,12.412778850357501,-2.6946982560508834,-2.4400285063781793,-2.6660359736404313,0.7192882177814344,0.1417397093577042,14.48418365130261
0.03438238082874183,-1.075497249128756,15.509815684059525,-2.5979348632325223,-2.8177398996807184,-2.4605751857998897,0.6811090886242641,0.2941979859313771,2.248479782400377
0.02679857761689078,-1.4770626321811884,10.823492306649111,-2.5693304664414875,-3.470316081110023,-2.7608201872889717,0.7735831248698726,0.258579182696745,2.337578297561982
0.007257520177679576,-1.2034335829727076,11.836737827387218,-3.0422230055559147,-2.160221796533722,-2.1200373142288123,0.6441811272266526,0.24198543627706404,2.13555180399902
0.04077209317287282,-1.115836672195932,10.123605913426715,-3.153422543129073,-3.123028043176073,-2.466184613161142,0.6352615050013851,0.2636072088275402,4.203400885356117
0.028040697114298102,-2.066139139370464,13.122165656386624,-2.767641558274806,-2.8192753886075623,-2.158011068538469,0.573865230987562,0.25708146427311934,14.517146923985113
0.02878491753556969,-1.1472767225068718,27.9510902427703,-2.724212677711071,-3.226514727838675,-2.497497653429764,0.8414403161687384,0.24800745362712073,14.36123073898756
