beta_m2f,seed,nontrep_f_2016,nontrep_m_2016,trep_f_2016,trep_m_2016,fsw_prev_2019,fsw_prev_2030_avg,client_prev_2016,overall_prev_f_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,stage_share_primary_plateau,stage_share_secondary_plateau,stage_share_early_latent_plateau,stage_share_late_latent_plateau,sustained
0.08,102.0,0.003991693035322823,0.001303992603884727,0.01589741473318895,0.00776259034777167,0.0,0.0,0.0,0.0010116998183211181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,102.0,0.007309593001885298,0.0039149469355436745,0.027258020290334712,0.01472112317765698,0.0,0.0,0.0,0.004050891849812507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,102.0,0.008546847596416772,0.005215785028278926,0.03274134595549906,0.023102293330440875,0.0,0.0,0.003401360544217687,0.004716787172666464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,102.0,0.006656775579852236,0.003792896656427332,0.02834091992220943,0.016912403133010904,0.0,0.0,0.0011337868480725624,0.0030384043766693903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,102.0,0.13497329543007683,0.10012110944422302,0.23698412858830464,0.17789159125885048,0.3974993568016824,0.38073510946775396,0.34344681362711876,0.12083716941794435,0.10273951986342096,19.910242222222227,0.6297314064091353,0.35064677914689785,0.019621814443966927,0.0,1.0
