seed,year,stage,n,share
101,2022,secondary,54,0.34177215189873417
101,2022,early_latent,2,0.012658227848101266
101,2022,late_latent,0,0.0
101,2023,primary,211,0.6698412698412698
101,2023,secondary,99,0.3142857142857143
101,2023,early_latent,5,0.015873015873015872
101,2023,late_latent,0,0.0
101,2024,primary,262,0.6193853427895981
101,2024,secondary,153,0.3617021276595745
101,2024,early_latent,8,0.018912529550827423
101,2024,late_latent,0,0.0
101,2025,primary,108,0.5294117647058824
101,2025,secondary,87,0.4264705882352941
101,2025,early_latent,9,0.04411764705882353
101,2025,late_latent,0,0.0
101,2026,primary,72,0.5950413223140496
101,2026,secondary,46,0.38016528925619836
101,2026,early_latent,3,0.024793388429752067
101,2026,late_latent,0,0.0
101,2027,primary,58,0.6041666666666666
101,2027,secondary,37,0.3854166666666667
101,2027,early_latent,1,0.010416666666666666
101,2027,late_latent,0,0.0
101,2028,primary,132,0.6947368421052632
101,2028,secondary,54,0.28421052631578947
101,2028,early_latent,4,0.021052631578947368
101,2028,late_latent,0,0.0
101,2029,primary,166,0.6459143968871596
101,2029,secondary,84,0.32684824902723736
101,2029,early_latent,7,0.027237354085603113
101,2029,late_latent,0,0.0
101,2030,primary,193,0.6348684210526315
101,2030,secondary,104,0.34210526315789475
101,2030,early_latent,7,0.023026315789473683
101,2030,late_latent,0,0.0
101,2031,primary,190,0.5571847507331378
101,2031,secondary,144,0.4222873900293255
101,2031,early_latent,7,0.020527859237536656
101,2031,late_latent,0,0.0
101,2032,primary,212,0.6180758017492711
101,2032,secondary,124,0.36151603498542273
101,2032,early_latent,7,0.02040816326530612
101,2032,late_latent,0,0.0
101,2033,primary,273,0.6724137931034483
101,2033,secondary,129,0.31773399014778325
101,2033,early_latent,4,0.009852216748768473
101,2033,late_latent,0,0.0
101,2034,primary,231,0.5907928388746803
101,2034,secondary,145,0.37084398976982097
101,2034,early_latent,15,0.03836317135549872
101,2034,late_latent,0,0.0
101,2035,primary,165,0.642023346303502
101,2035,secondary,87,0.33852140077821014
101,2035,early_latent,5,0.019455252918287938
101,2035,late_latent,0,0.0
101,2036,primary,88,0.5866666666666667
101,2036,secondary,58,0.38666666666666666
101,2036,early_latent,4,0.02666666666666667
101,2036,late_latent,0,0.0
101,2037,primary,66,0.5641025641025641
101,2037,secondary,48,0.41025641025641024
101,2037,early_latent,3,0.02564102564102564
101,2037,late_latent,0,0.0
101,2038,primary,114,0.6031746031746031
101,2038,secondary,74,0.3915343915343915
101,2038,early_latent,1,0.005291005291005291
101,2038,late_latent,0,0.0
101,2039,primary,256,0.6183574879227053
101,2039,secondary,150,0.36231884057971014
101,2039,early_latent,8,0.01932367149758454
101,2039,late_latent,0,0.0
101,2040,primary,23,0.6052631578947368
101,2040,secondary,11,0.2894736842105263
101,2040,early_latent,4,0.10526315789473684
101,2040,late_latent,0,0.0
102,1985,primary,21,0.6774193548387096
102,1985,secondary,9,0.2903225806451613
102,1985,early_latent,1,0.03225806451612903
102,1985,late_latent,0,0.0
102,1986,primary,113,0.6975308641975309
102,1986,secondary,48,0.2962962962962963
102,1986,early_latent,1,0.006172839506172839
102,1986,late_latent,0,0.0
102,1987,primary,369,0.6129568106312292
102,1987,secondary,224,0.37209302325581395
102,1987,early_latent,9,0.014950166112956811
102,1987,late_latent,0,0.0
102,1988,primary,218,0.5677083333333334
102,1988,secondary,156,0.40625
102,1988,early_latent,10,0.026041666666666668
102,1988,late_latent,0,0.0
102,1989,primary,106,0.572972972972973
102,1989,secondary,78,0.42162162162162165
102,1989,early_latent,1,0.005405405405405406
102,1989,late_latent,0,0.0
102,1990,primary,41,0.5857142857142857
102,1990,secondary,28,0.4
102,1990,early_latent,1,0.014285714285714285
102,1990,late_latent,0,0.0
102,1991,primary,55,0.5392156862745098
102,1991,secondary,46,0.45098039215686275
102,1991,early_latent,1,0.00980392156862745
102,1991,late_latent,0,0.0
102,1992,primary,135,0.645933014354067
102,1992,secondary,72,0.3444976076555024
102,1992,early_latent,2,0.009569377990430622
102,1992,late_latent,0,0.0
102,1993,primary,94,0.5
