m1_conc,seed,nontrep_f_2016,nontrep_m_2016,trep_f_2016,trep_m_2016,fsw_prev_2019,fsw_prev_2030_avg,client_prev_2016,overall_prev_f_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,stage_share_primary_plateau,stage_share_secondary_plateau,stage_share_early_latent_plateau,stage_share_late_latent_plateau
0.05,102.0,0.0038324998105630065,0.0017927250726632047,0.013256078168952372,0.007295771566317925,0.0,0.0,0.0,0.0007542675849150027,0.0,0.0,0.0,0.0,0.0,0.0
0.08,102.0,0.11191899295079806,0.081067536877369,0.16834930005471374,0.11980036341690614,0.15837265837265838,0.012982180897997554,0.2431198379304971,0.08873352919956766,0.0065417376399484264,0.0,0.4067396511169647,0.24568331487448195,0.014243700675220053,0.0
0.1,102.0,0.11199045286100119,0.08314046607797211,0.1705919448195851,0.1268055472471602,0.2886039886039886,0.021456320578257405,0.3583450210378682,0.09635108083542258,0.011058839179105226,0.0,0.40744931860324707,0.2466219009785698,0.012595447084849781,0.0
0.12,102.0,0.07643265443006732,0.05246563173648508,0.12515075767070125,0.08797219865052981,0.08862433862433862,0.006037981887310511,0.1604643914601839,0.05865067116730147,0.005605489964714871,0.0,0.2054655870445344,0.12134502923976609,0.0065227170490328385,0.0
0.15,102.0,0.054521786735814766,0.04053806211911678,0.08997495590185278,0.06465133481680078,0.12779973649538867,0.11464065115120263,0.14408602150537633,0.044500267486287416,0.037430927104850624,7.72088888888889,0.20579110651499485,0.11961392623233368,0.007928300586004825,0.0
0.2,102.0,0.06025122340911815,0.04239806818803007,0.10258108215327096,0.07444976280908171,0.1455026455026455,0.13107941944595441,0.13915857605177992,0.047148988350705086,0.033942460711717616,7.2890016666666675,0.21517500587268026,0.1120507399577167,0.00610758750293634,0.0
