pn_mult,condom_cov,ct_prev_window_mean,ct_new_inf_window,cohort_reinf_rate
1,0.0,0.1979099156050733,11330880.0,0.55
1,0.5,0.18688330232463915,10655760.0,0.53
1,1.0,0.18102701480209285,10246860.0,0.51
3,0.0,0.18019114380453768,11472690.0,0.56
3,0.5,0.1623522578578858,9921480.0,0.58
3,1.0,0.15090946454369475,9131520.0,0.51
8,0.0,0.13172383236425428,11586660.0,0.66
8,0.5,0.12121906097442287,8669550.0,0.5
8,1.0,0.11476191032907379,7874370.0,0.45
