hiv.beta_m2f,log_syph.beta_m2f,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.036358185425526976,-1.0669380061824965,-2.0785129122206976,-3.632046980819534,-0.810062106122238,0.6873506220365043,0.2976472335090411,4.917915637083457
0.023822750238953784,-1.452345055742836,-1.5963328312293212,-3.8347138077399023,-3.3444888052111295,0.7220712426605718,0.13910588425784814,3.4440132061277113
0.008737819958491459,-1.3993912673539493,-1.3218825491845498,-2.6852284176611216,-1.6608635467179864,0.8685310930396477,0.17367437916420625,12.056226838355911
0.0489657553877713,-1.985932102739278,-2.9410214654422218,-2.1649216781413774,-3.4719655344921736,0.6196821438933373,0.10713588828620582,4.473873766436571
0.04172488425593524,-1.4517315860413365,-3.4820892548737845,-3.3043578263317155,-3.2891722160319947,0.7131009609345467,0.14323530465289552,10.273231261619586
0.021867573993227907,-1.1521434730344184,-1.264262260598291,-1.4685107048522914,-3.1991793030466145,0.6116378659615678,0.2883480841609311,14.906441414606883
0.026211970505965708,-2.231468715966941,-3.5324891802012144,-1.3236046471721838,-0.7712855616726744,0.718849190794127,0.06833855563705929,2.8828570492041985
0.045946619718764944,-1.9464527700708232,-3.5814305105750104,-3.536130808454837,-3.5772479180951167,0.7394751394997029,0.25305069034910266,2.727425702452151
0.04538048797847519,-1.1298308648772024,-1.5420156559534592,-2.672263183150535,-1.864975520522222,0.7485732826918303,0.10668510742875231,5.335168588691774
0.01688911719476888,-2.107366847386014,-3.0504664860124002,-1.2235017726856934,-1.4299945264031497,0.694553630790521,0.26932602842755515,2.637706013121206
0.04186572799200212,-1.7126894958790673,-2.146136622686277,-1.2597572825525374,-0.5240850932335697,0.8414462377848384,0.22652079148518423,9.111011086978927
0.04555462485108584,-2.033407548617474,-2.9724997370700716,-3.2643756384452813,-2.1580699270867836,0.612806083256993,0.06906790923403813,6.417049391550035
0.03222368237157052,-1.675072064496812,-1.8738655253965386,-3.38826634004609,-2.8483474231570467,0.7544532695609856,0.21769111844325206,6.439586170634991
0.022913907869720206,-2.0639713965867568,-1.6303623066644843,-3.5839433599688855,-2.517230689571643,0.605455654368658,0.1311987027328424,10.426889057444589
0.026319884355623616,-1.7517449442532675,-3.5085617618533065,-2.82169220411707,-2.283082706537935,0.626404652410013,0.2840967088573698,13.243248392408612
0.025174179370970367,-1.3084556549316284,-3.0948285734427783,-1.7903138544170019,-2.6919178899941167,0.6218042595935608,0.12525605599801182,2.2428956231891455
0.039516667610597606,-1.6271361312955963,-1.8571895795877555,-1.3634728800793172,-1.4826109191686832,0.7538939361261706,0.0550012859535729,4.881086509976467
0.03192820868793703,-2.28084879846481,-1.7139757980755483,-3.1201586010498836,-2.3690597404665312,0.7736851142399394,0.16482228944648847,5.597599763522263
0.0234217152249651,-2.220016375082349,-1.816107996149118,-3.2695784093453093,-2.0923683164474127,0.640743630651394,0.2910069027534044,8.337032474085301
