hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_prev_f_2016,syph_prev_m_2016,syph_seroprev_f_2016,syph_seroprev_m_2016,syph_anc_2000_2015,syph_prev_hivpos_2016,syph_prev_hivneg_2016,seed,draw_idx,log_lik,weight
0.1665346278714482,0.1379058208800606,0.0108218962597045,0.0357598978288633,0.0841310425194564,0.0337715906161381,0.0296453149814716,0.036865171435937,0.0328215987294865,0.0420526329396291,0.117879746835443,0.0061483284232099,0,0,-437.46054019999775,1.1503145015733275e-170
0.1556734043590639,0.1241807822341272,0.0163854824779053,0.1656662665066026,0.1433756200994742,0.01171875,0.0097323600973236,0.0130208333333333,0.0108137334414706,0.0192069783823684,0.0671506352087114,0.004216174779609,2000,2,-65.99822379372779,2.4257768384541817e-09
0.1218021432502547,0.0938048458483262,0.0216628988683954,0.1874244256348246,0.0800537572451578,0.0290531776913099,0.0246850089997428,0.0308690012970168,0.0275134996142967,0.0335415259062022,0.1426900584795321,0.0074798619102416,4000,4,-399.40134662080237,3.887893428689557e-154
0.1069954767778785,0.0787181190576339,0.0259570132251702,0.0895522388059701,0.0847404271645777,0.2085983210379038,0.1922577292803325,0.2159755787331468,0.1995323460639127,0.1705508440395342,0.3849343469246717,0.1307468042161919,5000,5,-26251.065757268843,0.0
0.170600273713597,0.1349059459129405,0.0254960747797881,0.0991535671100362,0.0609776644831603,0.0097761770002572,0.0063508864779042,0.0102907126318497,0.0071447472876422,0.0111119364158777,0.0572376607216922,0.0016621915356092,6000,6,-73.97064278043119,8.365141116046719e-13
0.1557890581361246,0.1232951634830174,0.0282996149963316,0.0,0.11233991212537,0.0393126789898463,0.0342391304347826,0.0406144233272585,0.0375,0.0479380081441753,0.1365093907466789,0.0067275958365067,7000,7,-630.8968715357832,1.1284577306284117e-254
0.1735208532176308,0.1401034982189405,0.0138256145689416,0.0406905055487053,0.0879676447595298,0.0103535353535353,0.0076460950300382,0.0113636363636363,0.0084653194975423,0.0145045292988696,0.0434952978056426,0.0036354193715917,8000,8,-63.09146193637039,4.4385537136366414e-08
0.1040306330910649,0.079227809894216,0.030133771988999,0.1016949152542373,0.1496836467311554,0.0532290615539858,0.0444977351452171,0.0575176589303733,0.0484945377031708,0.067254053023944,0.2366782006920415,0.0187287173666288,9000,9,-1679.395390985395,0.0
0.1024563267383437,0.0820155008517042,0.0219569290012824,0.0858895705521472,0.1164873494249204,0.2439759036144578,0.2311271975180972,0.2522590361445783,0.2370734229576008,0.1703775574739233,0.4232558139534884,0.1526226734348561,10000,10,-36533.23044095049,0.0
0.1227049685165334,0.0932901759395602,0.0,0.2200247218788628,0.1194629013164868,0.0362745098039215,0.0302313354363827,0.0384803921568627,0.0341745531019979,0.0526808000412856,0.1703233256351039,0.0123215108245048,11000,11,-728.0898708967937,6.951875630528542e-297
0.1594971797463447,0.12845721081903,0.0172226547345087,0.040590405904059,0.1180691199464996,0.0098267390742177,0.0032180209171359,0.0118955262477372,0.0037543577366586,0.0122514512772439,0.0577256944444444,0.0024014155712841,14000,14,-73.63475150270096,1.17043958140768e-12
0.1485408898238966,0.1176012843386344,0.0166427312495028,0.1046931407942238,0.0991229160424277,0.0058729311265349,0.001835343471421,0.0058729311265349,0.001835343471421,0.0065149738691125,0.0344497607655502,0.0019814241486068,15000,15,-73.48991050980436,1.35285933936711e-12
0.0739899066829341,0.0523965419171728,0.0307864268020504,0.035799522673031,0.0778654499279428,0.0074275810844268,0.0044340114762649,0.0081703391928695,0.0054773082942097,0.0142063609566161,0.1392276422764227,0.0040481516991584,16000,16,-286.52771255765373,4.074842038350199e-105
0.200927508246615,0.1640930171061048,0.0322035653171784,0.1295843520782396,0.0780169226658694,0.0062712307290305,0.0031931878658861,0.0070551345701593,0.0034592868547099,0.0104050596685238,0.0324897400820793,0.0022133075114123,17000,17,-105.82220547235498,1.2288966338105453e-26
0.170559935368329,0.1343024239205158,0.0131617703862044,0.1113861386138613,0.0799335179905644,0.0167439464193714,0.0109204368174727,0.0190623390005152,0.0124804992199688,0.0264037993734298,0.0716965402250938,0.0031826861871419,18000,18,-79.36103997357793,3.814639622448141e-15
0.1724784756132057,0.1362526972029465,0.0158259811725636,0.1414012738853503,0.1114218608430208,0.0168496298187388,0.0108523028057173,0.0176155220832269,0.0121757543673901,0.0269149319052748,0.0852618757612667,0.0036848792884371,19000,19,-103.2814416251843,1.5593911791211303e-25
0.0549514038246145,0.0431214198326408,0.0174869236541106,0.051660516605166,0.1430577286217938,0.005086469989827,0.0026624068157614,0.0055951169888097,0.0031948881789137,0.0103782791233367,0.1275252525252525,0.0022558814050918,22000,22,-260.1721586257433,1.138105227331066e-93
0.0683068141116179,0.0505370343485391,0.0291096127010677,0.1707021791767554,0.139343959122276,0.0265983406539775,0.0178162382285568,0.0280624694973157,0.0203614151183507,0.0334576725317409,0.1645833333333333,0.0122359339050407,24000,24,-455.383518632436,1.8921953127261484e-178
0.1497264616097685,0.1138621884644278,0.0260183651440515,0.0851851851851851,0.1549170363590021,0.0556261112522225,0.0483740929857565,0.0607061214122428,0.0518677774791722,0.0746124833580595,0.1884265901482544,0.0154219793564055,25000,25,-1511.0827439204932,0.0
0.1749564130186335,0.1421056750498983,0.0348870610658844,0.0761789600967352,0.1353762980757994,0.0474627619288058,0.0423461336138874,0.0497349154253976,0.0460284061020515,0.0641767169172472,0.1574681590119644,0.0084097859327217,26000,26,-1031.8736691016525,0.0
0.1536457975709737,0.1191838875541979,0.0167172339813262,0.0321384425216316,0.1587566791008915,0.0169034786869181,0.0126889848812095,0.0173934345908868,0.0145788336933045,0.0233491995911599,0.0864422202001819,0.0032506621719239,30000,30,-112.14136052175292,2.2138142895282997e-29
0.0927730773230405,0.0661091090711948,0.0141159718383467,0.0543881334981458,0.0796382836871356,0.021244688827793,0.0155239327296248,0.0227443139215196,0.0173350582147477,0.0294589498664168,0.1821963394342762,0.0075874202771057,32000,32,-486.80294374740237,4.282358388047533e-192
