hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_prev_f_2016,syph_prev_m_2016,syph_seroprev_f_2016,syph_seroprev_m_2016,syph_anc_2000_2015,syph_prev_hivpos_2016,syph_prev_hivneg_2016,seed,draw_idx
0.1665346278714482,0.13790582088006062,0.01082189625970458,0.035759897828863345,0.08413104251945641,0.03377159061613818,0.029645314981471677,0.036865171435937094,0.0328215987294865,0.04205263293962917,0.11787974683544304,0.00614832842320994,0,0
0.0749266382622365,0.05834127551975309,0.022565396576355146,0.03615960099750624,0.110762183534668,0.004622496147919877,0.0015592515592515593,0.004879301489470981,0.002079002079002079,0.006922940643439304,0.05466540999057493,0.0015228978570651583,1000,1
0.1556734043590639,0.12418078223412725,0.01638548247790538,0.16566626650660263,0.14337562009947424,0.01171875,0.009732360097323601,0.013020833333333334,0.010813733441470668,0.01920697838236844,0.06715063520871144,0.004216174779609045,2000,2
0.12046109183451528,0.09953863529234074,0.023270037191321223,0.08578143360752057,0.12453460069934551,0.004319105691056911,0.0029490616621983914,0.004573170731707317,0.0029490616621983914,0.006983367347999139,0.05312157721796276,0.0020068468893873217,3000,3
0.1218021432502547,0.09380484584832623,0.021662898868395414,0.18742442563482467,0.0800537572451578,0.029053177691309988,0.024685008999742866,0.030869001297016863,0.027513499614296735,0.03354152590620226,0.14269005847953217,0.007479861910241657,4000,4
0.10699547677787859,0.07871811905763397,0.025957013225170293,0.08955223880597014,0.08474042716457779,0.20859832103790385,0.19225772928033255,0.2159755787331468,0.1995323460639127,0.17055084403953422,0.3849343469246717,0.13074680421619198,5000,5
0.170600273713597,0.13490594591294058,0.025496074779788182,0.09915356711003627,0.060977664483160395,0.009776177000257269,0.0063508864779042076,0.010290712631849755,0.007144747287642234,0.011111936415877726,0.05723766072169224,0.0016621915356092572,6000,6
0.15578905813612462,0.12329516348301747,0.02829961499633166,0.0,0.11233991212537005,0.039312678989846396,0.034239130434782605,0.04061442332725853,0.0375,0.04793800814417533,0.1365093907466789,0.006727595836506728,7000,7
0.17352085321763086,0.1401034982189405,0.01382561456894162,0.040690505548705305,0.08796764475952988,0.010353535353535354,0.007646095030038231,0.011363636363636364,0.008465319497542327,0.014504529298869646,0.04349529780564263,0.003635419371591794,8000,8
0.1040306330910649,0.07922780989421607,0.03013377198899901,0.1016949152542373,0.1496836467311554,0.05322906155398587,0.04449773514521716,0.05751765893037336,0.0484945377031708,0.06725405302394402,0.2366782006920415,0.01872871736662883,9000,9
0.10245632673834379,0.08201550085170425,0.021956929001282464,0.08588957055214724,0.11648734942492046,0.24397590361445784,0.2311271975180972,0.2522590361445783,0.23707342295760084,0.17037755747392336,0.4232558139534884,0.15262267343485617,10000,10
0.1227049685165334,0.0932901759395602,0.0,0.2200247218788628,0.11946290131648683,0.03627450980392157,0.030231335436382754,0.03848039215686275,0.0341745531019979,0.052680800041285614,0.17032332563510394,0.012321510824504837,11000,11
0.18016038523301087,0.1411890243575797,0.007693505564650669,0.08508014796547472,0.05368449652208656,0.0020325203252032522,0.0010675206832132373,0.0020325203252032522,0.0016012810248198558,0.0038729151125794937,0.01645123384253819,0.0008943401047655552,12000,12
0.16105403722704198,0.1273557273164427,0.034766864114661906,0.08052884615384616,0.12647813555959916,0.0014847809948032665,0.0015881418740074113,0.0014847809948032665,0.0015881418740074113,0.0039354990519606635,0.03365999147848317,0.0004955401387512388,13000,13
0.15949717974634475,0.12845721081903,0.017222654734508767,0.04059040590405904,0.11806911994649963,0.00982673907421774,0.003218020917135961,0.011895526247737265,0.0037543577366586215,0.012251451277243976,0.05772569444444445,0.0024014155712841255,14000,14
0.14854088982389663,0.11760128433863445,0.016642731249502888,0.10469314079422383,0.09912291604242772,0.0058729311265349705,0.0018353434714210803,0.0058729311265349705,0.0018353434714210803,0.006514973869112587,0.03444976076555024,0.001981424148606811,15000,15
0.07398990668293412,0.05239654191717286,0.030786426802050498,0.03579952267303103,0.07786544992794288,0.007427581084426839,0.004434011476264998,0.008170339192869523,0.005477308294209703,0.01420636095661611,0.13922764227642276,0.004048151699158411,16000,16
0.20092750824661507,0.16409301710610483,0.032203565317178495,0.1295843520782396,0.07801692266586943,0.006271230729030572,0.0031931878658861094,0.007055134570159394,0.003459286854709952,0.010405059668523809,0.032489740082079346,0.0022133075114123667,17000,17
