hiv_prev_2000_2010,hiv_prev_2010_2020,ng_prev_2005_2015,ct_prev_f2530,tv_prev_2005_2015,syph_prev_f_2016,syph_prev_m_2016,syph_seroprev_f_2016,syph_seroprev_m_2016,syph_anc_2000_2015,syph_prev_hivpos_2016,syph_prev_hivneg_2016,syph_prev_f_2020_2025,seed,draw_idx,status,log_lik,weight
0.16427110250012422,0.13097608110719236,0.020969076671507457,0.11956521739130435,0.035450188237312504,0.005246589716684155,0.0015719151165837044,0.0062959076600209865,0.0015719151165837044,0.007584488875740884,0.0389948006932409,0.0006389776357827476,0.00035476816929188253,6000,6,ok,-14.12381719555469,0.01291392723937723
0.14547294559641757,0.11096913377370274,0.017866405528669627,0.0,0.15378666890878254,0.038528461347253296,0.021813403416557162,0.051205567984091475,0.023127463863337715,0.050782222242839854,0.1774913237481408,0.005011933174224344,0.011694875324272108,11000,11,ok,-76.81149516813925,7.693885313085266e-30
0.036383035385483806,0.02563236938680981,0.010628927257396984,0.0,0.11856534007732808,0.04711656441717792,0.021801193874902675,0.062331288343558285,0.023617960031144563,0.05850294492037104,0.3471933471933472,0.023923934158061547,0.011143679904709835,16000,16,ok,-268.3094607126506,5.243677536912074e-113
0.09359620964883876,0.07029996107569234,0.025447219678586184,0.20149253731343283,0.04347619883148202,0.00532994923857868,0.0005117707267144319,0.008121827411167513,0.0005117707267144319,0.011473161237420308,0.13143735588009223,0.0007665352606219887,0.00011734274275160207,5000,5,ok,-33.90553085984907,3.3110767533051174e-11
0.1658292191234971,0.13773154997370762,0.04035647048759321,0.2688039457459926,0.03630189255640599,0.013870365430781541,0.0070365358592692825,0.020538810349426513,0.007848443843031122,0.01811218935431533,0.08232848232848233,0.001716171617161716,0.002770194950915875,22000,22,ok,-27.613607741631682,1.7886144660907914e-08
0.13236296757691665,0.10326603183307023,0.03524366781110984,0.029904306220095694,0.1361250463298024,0.005415162454873646,0.0005221932114882506,0.006962351727694688,0.0005221932114882506,0.008494019095603168,0.07397408207343413,0.0013031631323302925,0.0,21000,21,ok,-18.134828596390697,0.0002339366233036
0.10458576932917711,0.07844515942465438,0.0341591741586808,0.16602809706257982,0.08415288905702487,0.141191381495564,0.11608066184074457,0.17389100126742713,0.1202171664943123,0.15273578613481054,0.39196675900277006,0.07037861915367483,0.08182675323279533,0,0,ok,-1289.6814940495,0.0
0.08566011411481238,0.06331923635753024,0.02918892731149206,0.013480392156862746,0.0811590374683763,0.1669191919191919,0.14415348716619134,0.20303030303030303,0.1542649727767695,0.16736275826281694,0.41308089500860584,0.10093948000873935,0.09734366794082853,14000,14,ok,-1926.9386660307537,0.0
0.15473592015993196,0.11846643870250563,0.02188061405461548,0.0,0.071426736750206,0.22978382706164932,0.2159090909090909,0.263143848412063,0.2246900826446281,0.17703437441078046,0.4172661870503597,0.12745338567222766,0.13529977233296378,4000,4,ok,-3534.212309714251,0.0
0.03460029206641495,0.024548023220920815,0.019066398485619425,0.11868390129259694,0.117978018432572,0.24931094963668254,0.24368421052631578,0.2974191931846655,0.24921052631578947,0.20355788092183438,0.4700665188470067,0.1894135962636222,0.22730616123725916,3000,3,ok,-4972.281549428941,0.0
0.1564432111952194,0.13394797776177553,0.026256020075010638,0.13017031630170317,0.09633789835845778,0.16397709526288393,0.17834394904458598,0.20744403956272775,0.18497876857749468,0.15401275391981797,0.35328589367936375,0.07684360067157432,0.10358688206500291,9000,9,ok,-2076.3722655924707,0.0
0.11543531644123271,0.0874682644055602,0.020329451382388283,0.1504315659679408,0.11570765970729459,0.21094726318420395,0.21546526867627785,0.2554361409647588,0.22254259501965923,0.18380182323651156,0.4223057644110276,0.13290995690632795,0.1838842892875888,12000,12,ok,-3452.9518209929324,0.0
0.11393515409427322,0.0871660842036674,0.033094553993874544,0.10259579728059333,0.08586748332610773,0.15617064499746064,0.14770408163265306,0.1909598781107161,0.1538265306122449,0.1595160694633899,0.4078530715642812,0.08601295307351438,0.09315825913731417,18000,18,ok,-1782.13358228104,0.0
0.10016279604408074,0.07533886857273905,0.02557378544736986,0.14578313253012049,0.15166467675136083,0.14669146957214987,0.14329976762199845,0.1870847727876694,0.14949651432997677,0.14172060505874795,0.39448173005219983,0.08896716282240655,0.08601905437676721,15000,15,ok,-1664.5721214706723,0.0
0.0975914620323986,0.07361612595453389,0.017225691885485648,0.14982578397212543,0.09284176230607874,0.2083954297069051,0.23378582202111614,0.25832091405861896,0.24157868275515335,0.16688116255264904,0.4158125915080527,0.1549604916593503,0.1310517879438177,23000,23,ok,-3916.105434576625,0.0
0.031376083013400585,0.02187336461019918,0.0370940561246304,0.0,0.16695816896166163,0.007827788649706457,0.0012800819252432156,0.009540117416829745,0.0015360983102918587,0.016785403877678306,0.21515892420537897,0.0028231498285944748,0.00030831224686203595,26000,26,ok,-94.56958950513555,1.4924621594508238e-37
0.06920458576426602,0.04858620351092226,0.029505057182938232,0.22732919254658385,0.09257506463093075,0.00514201762977473,0.0010240655401945725,0.007345739471106758,0.0012800819252432156,0.012036354954567107,0.15628415300546447,0.0019769014670689834,6.20110020983274e-05,31000,31,ok,-47.5094852925048,4.091164158612216e-17
0.09730258382772017,0.07178875168091085,0.03033692611228389,0.0345679012345679,0.13815751208855448,0.017897655659188303,0.007725985063095545,0.024703806402823294,0.007983517898532062,0.02941896477623153,0.18112049117421336,0.004122103386809269,0.002363372936493638,32000,32,ok,-53.5154055145828,1.0081122562958184e-19
0.07413180281146833,0.054330607150415725,0.019765052493247788,0.0,0.1768290891249275,0.2351066437852415,0.1946496815286624,0.2760480509928904,0.20203821656050955,0.19977286306912986,0.5004897159647405,0.15186547556489752,0.14387905303856308,24000,24,ok,-3677.1889078177323,0.0
0.126782821945103,0.09503658215078813,0.016487545509916417,0.148,0.037372413922384655,0.030604437643458302,0.016432547044791943,0.042081101759755164,0.01749271137026239,0.03797660484988032,0.16479621972829298,0.005863726984871584,0.00859198189857391,29000,29,ok,-52.173101002692476,3.858907223640015e-19
0.11548247800549355,0.0838793753050939,0.022156597065146184,0.0,0.05909051197972042,0.24612027158098934,0.2295647558386412,0.292192046556741,0.23752653927813164,0.2058983578311099,0.4529032258064516,0.1602436323366556,0.22595086091386568,30000,30,ok,-4341.018130968991,0.0
0.16822910692859605,0.1407177175628957,0.03327561250610481,0.06435643564356436,0.08130836987873437,0.209992193598751,0.2390608324439701,0.25709081446786364,0.2513340448239061,0.19233381906636535,0.4110936270653029,0.11048270419571223,0.12705791594118407,25000,25,ok,-3689.2062345496424,0.0
0.047086561905712185,0.03526477126300294,0.02200131703901976,0.0024390243902439024,0.13494662811242222,0.008,0.0007798284377436964,0.009,0.0010397712503249284,0.012865307604540126,0.1458966565349544,0.0025073129962390303,7.753576817941051e-05,41000,41,ok,-44.604436081439495,7.472978762021005e-16
0.1554167532086712,0.12653603173361663,0.021239984240909605,0.03349282296650718,0.1612046508893279,0.06982803543512246,0.05598923283983849,0.08936946326211569,0.06110363391655451,0.09433359370332582,0.2524357838795394,0.009107007336200354,0.034853262288043384,34000,34,ok,-290.7631855238889,9.291957033778087e-123
0.12655365827304224,0.09256570517196448,0.004816765746334612,0.010477299185098952,0.15695511901679246,0.22365428354814254,0.21568116697056525,0.2605509224159717,0.22245376400104194,0.16111715156384837,0.39988045427375973,0.14277536065949165,0.19293853757674473,33000,33,ok,-3566.3048431460024,0.0
0.15181507591463136,0.12141527246868682,0.01082410292402924,0.0,0.13311426341527227,0.16882773220428685,0.16768211920529802,0.20190526594337127,0.17483443708609273,0.14239148591582382,0.3528591352859135,0.08436030999872951,0.10255716004679098,36000,36,ok,-1980.405639467667,0.0
0.15472512515040784,0.12201916641484782,0.02159636808102481,0.04271356783919598,0.0435300256888197,0.20253491981376098,0.19400212314225054,0.24443869632695292,0.20276008492569003,0.182866132684829,0.4240766073871409,0.09906612821807168,0.12052125846319914,35000,35,ok,-2821.86289871954,0.0
0.08752966959217455,0.06366493538468558,0.0,0.11149825783972125,0.04128939606949862,0.24396378269617705,0.22625843279709393,0.2854627766599598,0.22963155163466528,0.19605151278461,0.5008417508417509,0.16122028009988057,0.2309145933500405,45000,45,ok,-4324.44294956151,0.0
0.16043706627749307,0.1355586805175025,0.01445635727773419,0.041353383458646614,0.06249007991385057,0.20710059171597633,0.22789473684210526,0.24697710316439414,0.23342105263157895,0.15161143452576653,0.3736536868268434,0.11852524990263534,0.2089938783407707,44000,44,ok,-3383.65851141244,0.0
0.13494957037467176,0.10562107339580598,0.020458816751143964,0.17058823529411765,0.12501657054375767,0.23875,0.2582285255552582,0.28275,0.26598876103826596,0.19109893682087253,0.4036363636363636,0.16008640345613825,0.2192471569752641,39000,39,ok,-4671.916217733469,0.0
0.14566259677919427,0.11686604925950433,0.014604048344186774,0.14543269230769232,0.1299028663204429,0.22354129830765346,0.22540983606557377,0.2654710785551907,0.23181352459016394,0.18185236082809111,0.39581351094196005,0.12882991556091677,0.1925450426864313,38000,38,ok,-3633.1100005164453,0.0
0.15412798815209655,0.12318598958029647,0.035304035958371345,0.2324455205811138,0.08306538803058101,0.24763655462184875,0.23086967876730216,0.2859768907563025,0.23739879864194308,0.19075367544543126,0.4522935779816514,0.12998859749144812,0.22366484878603304,40000,40,ok,-4047.76241761861,0.0
0.1629008361024155,0.13382126396370903,0.011727988517173183,0.056921086675291076,0.062145432304499204,0.25422832980972515,0.2703480764197854,0.30021141649048627,0.2802931169850824,0.20731480728954613,0.45500848896434637,0.14701676849083584,0.21693715184165713,37000,37,ok,-5050.425994014957,0.0
0.05757470416035484,0.041401005286619476,0.012894159934725863,0.17150063051702397,0.04898104318221222,0.1385776911836337,0.1096108022239873,0.16902094495859718,0.11781837437119407,0.14156941149373098,0.4294954721862872,0.0845634753268663,0.08040103287583474,47000,47,ok,-1340.7621123995355,0.0
