coverage,ct_prev_end,ct_prev_window_mean,ct_new_inf_window,ct_tx_success_window,mean_protected,cohort_reinf_rate,cohort_n
0.0,0.21147274662483895,0.1979099156050733,11330880.0,3359070.0,0.0,0.55,100
0.25,0.20301383675984538,0.1916748654274066,10964610.0,3242490.0,140613.75,0.55,100
0.5,0.1965156013668702,0.18688330232463915,10655760.0,3146790.0,262468.125,0.53,100
0.75,0.18912105764382947,0.18311971413556957,10374750.0,3022380.0,367520.625,0.58,100
1.0,0.18228670662707971,0.18102701480209285,10246860.0,2968440.0,472663.75,0.51,100
